epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4022,1.2437,3.39056,4.38783,1.18102,0,0.00833,1,0.00846,0.0074,0.00833,1,0.00846,0.00752,0.48441,0.74961,3.98582,0.74371,0,0.00010002,0.00010002,0.00010002
2,66.4728,0.59679,1.28622,2.70149,0.8533,0,0.00863,1,0.00943,0.0092,0.00863,1,0.00943,0.00839,0.33961,0.49455,3.84064,0.71478,0,0.000214565,0.000214565,0.000214565
3,98.9366,0.59778,0.64107,1.54538,0.81992,0,0.00766,1,0.37139,0.33425,0.00766,1,0.37139,0.33471,0.45962,0.32181,3.59728,0.73135,0,0.000326799,0.000326799,0.000326799
4,131.067,0.63631,1.26779,1.40568,0.82474,0,0.00673,1,0.00852,0.00842,0.00673,1,0.00852,0.00781,0.28672,0.56308,3.75403,0.71174,0,0.000436722,0.000436722,0.000436722
5,163.251,0.61171,1.42417,1.63812,0.82781,0,0.00736,1,0.00852,0.00706,0.00736,1,0.00852,0.00746,0.5629,0.65103,3.72486,0.74751,0,0.000544336,0.000544336,0.000544336
6,195.62,0.5602,0.82987,1.44262,0.82323,0,0.00768,1,0.88087,0.82442,0.00768,1,0.88087,0.80788,0.37983,0.44057,3.53435,0.72485,0,0.000649638,0.000649638,0.000649638
7,228.405,0.54874,1.02057,1.20644,0.82968,0,0.0074,1,0.59819,0.54728,0.0074,1,0.59819,0.51807,0.37753,0.86379,3.54299,0.73082,0,0.00075263,0.00075263,0.00075263
8,259.888,0.55274,1.28764,1.19549,0.82111,0,0.00718,1,0.53683,0.51134,0.00718,1,0.53683,0.49666,0.2926,0.38631,3.49449,0.71351,0,0.000853312,0.000853312,0.000853312
9,290.637,0.5242,1.71437,1.27407,0.86313,0,0.00664,1,0.00703,0.00625,0.00664,1,0.00703,0.00597,0.36455,0.89628,3.58427,0.72625,0,0.000951684,0.000951684,0.000951684
10,326.109,0.5325,1.39089,1.30896,0.83355,0,0.00666,1,0.995,0.90587,0.00666,1,0.995,0.85143,0.41554,0.67521,3.27122,0.72534,0,0.00104774,0.00104774,0.00104774
