epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,748.237,0,0,14.0678,0,0,0,0,0,0,0,0,0,0,0,0,7528.82,0,0,0.000548972,0.000548972,0.000548972
2,1417.12,0,0,2.29502,0,0,0,0,0,0,0,0,0,0,0,0,748.933,0,0,0.00101351,0.00101351,0.00101351
3,2160.96,0,0,0.58205,0,0,0,0,0,0,0,0,0,0,0,0,0.4115,0,0,0.00138635,0.00138635,0.00138635
4,2934.48,0,0,0.14805,0,0,0,0,0,0,0,0,0,0,0,0,0.08465,0,0,0.00125442,0.00125442,0.00125442
5,3685.1,0,0,0.03957,0,0,0,0,0,0,0,0,0,0,0,0,0.03049,0,0,0.00111689,0.00111689,0.00111689
6,4479.27,0,0,0.00792,0,0,0,0,0,0,0,0,0,0,0,0,0.01169,0,0,0.000979362,0.000979362,0.000979362
7,5211.5,0,0,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0.00658,0,0,0.000841835,0.000841835,0.000841835
8,6086.4,0,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0.000704307,0.000704307,0.000704307
9,6891.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0.00056678,0.00056678,0.00056678
10,7643.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429253,0.000429253,0.000429253
