cycle_index,time,focus_score_ratio,full_tenengrad,full_laplacian_var,full_brenner,full_highfreq_ratio,full_local_contrast,full_edge_width,full_halo_width,full_brightness_mean,full_brightness_std,full_red_blue_ratio,full_modified_laplacian,full_dct_energy,full_smd,full_entropy,roi_tenengrad,roi_laplacian_var,roi_brenner,roi_highfreq_ratio,roi_local_contrast,roi_edge_width,roi_halo_width,roi_brightness_mean,roi_brightness_std,roi_red_blue_ratio,roi_modified_laplacian,roi_dct_energy,roi_smd,roi_entropy
1,2026-07-04 22:04:22,1.0,17023.850390567906,30986.945492710805,777.7765809224077,0.6134284415011964,0.2742111313832661,60.0,4.0,48.74048041476525,25.612423938066517,0.793610982410869,65.32919759000926,0.15755715488085625,5.466203278616451,1.8173697868133705,16800.535155555557,30074.80489637729,754.5438870246085,0.5952846961915147,0.30946091808895504,67.0,3.0,44.49214444444444,24.739584665094075,0.7947489339542646,64.37606666666667,0.16351215305312156,5.3112207357859536,1.584325026883759
2,2026-07-04 22:04:27,0.9978377458176947,18308.669044448416,33012.41128330246,831.8098354654528,0.6121601994630027,0.29100683905517366,56.0,4.0,49.25370166620654,26.499329351655742,0.7952904705092599,69.97703688065349,0.1644952164842405,5.836187929504728,1.8031023627551306,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
3,2026-07-04 22:04:32,0.9978377458176947,17171.58047241665,31774.414953504005,782.6332926290863,0.6099254032096884,0.2812063133225921,67.0,4.0,48.9008314792861,25.832597042025455,0.7940679053886237,66.81538358478004,0.15915569893660628,5.541097143115306,1.8224613594562908,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
4,2026-07-04 22:04:37,0.9978377458176947,17274.14359257515,31942.631487274724,788.9598601038427,0.6173860595472249,0.2815827638564009,67.0,4.0,48.789822092664465,25.760315480419308,0.793985694610934,66.7333501144908,0.16070193146922687,5.544227065378603,1.8090640354474474,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
5,2026-07-04 22:04:43,0.9978377458176947,17253.250791691702,31897.835719374383,787.5350102692619,0.6178958422736978,0.28139323481315864,67.0,4.0,48.7766607255956,25.73722870429091,0.794036780959655,66.64468673368303,0.16063509634010542,5.534507099994841,1.8078674912700867,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
6,2026-07-04 22:04:48,0.9978377458176947,17245.392938922,31877.363416404103,787.0439139405639,0.6184041319633332,0.2813656961703108,67.0,4.0,48.771364511099925,25.724730996394833,0.7940134523943041,66.61275719830456,0.16063686994047446,5.5312069150757885,1.807439756289551,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
7,2026-07-04 22:04:53,0.9978377458176947,17151.550749468144,31465.861143671093,783.5666745528125,0.6167272038409379,0.2803414665212447,108.0,3.0,48.76209156828036,25.68407194998643,0.7938519147335765,66.04983597771896,0.15921613428200013,5.50302089745911,1.809632089950231,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
8,2026-07-04 22:04:59,0.9978377458176947,17272.394059470258,31909.69912616588,788.6154309499863,0.6170719643258694,0.28141448035627065,67.0,4.0,48.78900908618478,25.755978564221206,0.7939187509161499,66.73803733536873,0.1606666565363452,5.541947470623855,1.8093222144369048,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
9,2026-07-04 22:05:04,0.9978377458176947,17331.487410071943,32002.66033733238,791.3858103784173,0.6167736498572134,0.28177490734546123,67.0,4.0,48.81276186725563,25.800104924114116,0.7940879219986589,66.94631721259562,0.16091880957314678,5.561701736972315,1.8123763281313732,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
10,2026-07-04 22:05:09,0.9978377458176947,17326.48296847849,32006.16021553366,790.8365513438764,0.6164444268971282,0.281782372523385,67.0,4.0,48.813100873702844,25.799763189734282,0.7940147129563012,66.92082473975672,0.16087336872107527,5.558517680295452,1.8119991728546623,16728.363644444446,29958.7135815032,751.5507494407159,0.5951549252244045,0.3078172555357288,67.0,3.0,44.46686666666667,24.686612025414366,0.7946413570284881,64.14955555555555,0.16295154565290362,5.293717948717949,1.5777661480756568
