index,wavelength,raw_y,threshold_filtered_y,median_filtered_y,angle_deg
0,498.215,1177,1177,1177,-81.00685082
1,498.25,1185,1185,1175,-81.00685082
2,498.285,1173,1173,1176,-81.00685082
3,498.32,1169,1169,1175,-81.00685082
4,498.355,1176,1176,1173,-81.00685082
5,498.39,1175,1175,1169,-81.00685082
6,498.425,1168,1168,1169,-81.00685082
7,498.46,1169,1169,1169,-81.00685082
8,498.495,1169,1169,1169,-81.00685082
9,498.53,1162,1162,1169,-81.00685082
10,498.565,1178,1178,1169,-81.00685082
11,498.6,1184,1184,1174,-81.00685082
12,498.635,1159,1159,1178,-81.00685082
13,498.67,1174,1174,1174,-81.00685082
14,498.705,1184,1184,1174,-81.00685082
15,498.74,1156,1156,1177,-81.00685082
16,498.775,1177,1177,1177,-81.00685082
17,498.81,1186,1186,1177,-81.00685082
18,498.845,1167,1167,1177,-81.00685082
19,498.88,1185,1185,1175,-81.00685082
20,498.915,1175,1175,1175,-81.00685082
21,498.95,1164,1164,1177,-81.00685082
22,498.985,1177,1177,1177,-81.00685082
23,499.02,1181,1181,1177,-81.00685082
24,499.055,1177,1177,1177,-81.00685082
25,499.09,1157,1157,1177,-81.00685082
26,499.125,1190,1190,1177,-81.00685082
27,499.16,1176,1176,1190,-81.00685082
28,499.195,1222,1222,1190,-81.00685082
29,499.23,1192,1192,1179,-81.00685082
30,499.265,1179,1179,1179,-81.00685082
31,499.3,1179,1179,1179,-81.00685082
32,499.335,1178,1178,1178,-81.00685082
33,499.37,1178,1178,1178,-81.00685082
34,499.405,1175,1175,1178,-81.00685082
35,499.44,1181,1181,1178,-81.00685082
36,499.475,1159,1159,1180,-81.00685082
37,499.51,1189,1189,1180,-81.00685082
38,499.545,1180,1180,1159,-81.00685082
39,499.58,1158,1158,1180,-81.00685082
40,499.615,1156,1156,1171,-81.00685082
41,499.65,1183,1183,1164,-81.00685082
42,499.685,1171,1171,1171,-81.00685082
43,499.72,1164,1164,1171,-81.00685082
44,499.755,1175,1175,1168,-81.00685082
45,499.79,1161,1161,1165,-81.00685082
46,499.825,1168,1168,1168,-81.00685082
47,499.86,1165,1165,1168,-81.00685082
48,499.894,1182,1182,1171,-81.00685082
49,499.929,1177,1177,1177,-81.00685082
50,499.964,1171,1171,1182,-81.00685082
51,499.999,1195,1195,1179,-81.00685082
52,500.034,1195,1195,1179,-81.00685082
53,500.069,1179,1179,1179,-81.00685082
54,500.104,1178,1178,1178,-81.00685082
55,500.139,1158,1158,1169,-81.00685082
56,500.174,1169,1169,1169,-81.00685082
57,500.209,1167,1167,1169,-81.00685082
58,500.244,1181,1181,1177,-81.00685082
59,500.279,1179,1179,1177,-81.00685082
60,500.314,1177,1177,1179,-81.00685082
61,500.349,1170,1170,1178,-81.00685082
62,500.384,1193,1193,1178,-81.00685082
63,500.419,1178,1178,1193,-81.00685082
64,500.454,1200,1200,1193,-81.00685082
65,500.489,1207,1207,1178,-81.00685082
