x,y,lorentz_fit_y,residual
498.215,1177,1203.338349,-26.338349
498.25,1175,1203.338833,-28.33883329
498.285,1176,1203.33932,-27.33932037
498.32,1175,1203.33981,-28.33981028
498.355,1173,1203.340303,-30.34030302
498.39,1169,1203.340799,-34.34079862
498.425,1169,1203.341297,-34.34129711
498.46,1169,1203.341799,-34.34179851
498.495,1169,1203.342303,-34.34230283
498.53,1169,1203.34281,-34.34281011
498.565,1169,1203.34332,-34.34332036
498.6,1174,1203.343834,-29.34383361
498.635,1178,1203.34435,-25.34434988
498.67,1174,1203.344869,-29.3448692
498.705,1174,1203.345392,-29.34539159
498.74,1177,1203.345917,-26.34591707
498.775,1177,1203.346446,-26.34644567
498.81,1177,1203.346977,-26.34697741
498.845,1177,1203.347512,-26.34751232
498.88,1175,1203.34805,-28.34805043
498.915,1175,1203.348592,-28.34859175
498.95,1177,1203.349136,-26.34913632
498.985,1177,1203.349684,-26.34968416
499.02,1177,1203.350235,-26.35023529
499.055,1177,1203.35079,-26.35078975
499.09,1177,1203.351348,-26.35134756
499.125,1177,1203.351909,-26.35190874
499.16,1190,1203.352473,-13.35247333
499.195,1190,1203.353041,-13.35304135
499.23,1179,1203.353613,-24.35361283
499.265,1179,1203.354188,-24.3541878
499.3,1179,1203.354766,-24.35476629
499.335,1178,1203.355348,-25.35534832
499.37,1178,1203.355934,-25.35593392
499.405,1178,1203.356523,-25.35652313
499.44,1178,1203.357116,-25.35711597
499.475,1180,1203.357712,-23.35771247
499.51,1180,1203.358313,-23.35831266
499.545,1159,1203.358917,-44.35891658
499.58,1180,1203.359524,-23.35952426
499.615,1171,1203.360136,-32.36013572
499.65,1164,1203.360751,-39.36075099
499.685,1171,1203.36137,-32.36137012
499.72,1171,1203.361993,-32.36199313
499.755,1168,1203.36262,-35.36262005
499.79,1165,1203.363251,-38.36325091
499.825,1168,1203.363886,-35.36388576
499.86,1168,1203.364525,-35.36452462
499.894,1171,1203.365149,-32.3651491
499.929,1177,1203.365796,-26.36579597
499.964,1182,1203.366447,-21.36644696
499.999,1179,1203.367102,-24.36710209
500.034,1179,1203.367761,-24.36776141
500.069,1179,1203.368425,-24.36842495
500.104,1178,1203.369093,-25.36909275
500.139,1169,1203.369765,-34.36976484
500.174,1169,1203.370441,-34.37044126
500.209,1169,1203.371122,-34.37112205
500.244,1177,1203.371807,-26.37180725
500.279,1177,1203.372497,-26.37249688
500.314,1179,1203.373191,-24.373191
500.349,1178,1203.37389,-25.37388964
500.384,1178,1203.374593,-25.37459284
500.419,1193,1203.375301,-10.37530064
500.454,1193,1203.376013,-10.37601308
500.489,1178,1203.37673,-25.3767302
500.524,1182,1203.377452,-21.37745204
500.559,1182,1203.378179,-21.37817865
500.594,1179,1203.37891,-24.37891006
500.629,1182,1203.379646,-21.37964631
500.664,1182,1203.380387,-21.38038746
500.699,1182,1203.381134,-21.38113354
500.734,1182,1203.381885,-21.3818846
500.768,1184,1203.382619,-19.38261901
500.803,1182,1203.38338,-21.38338001
500.838,1182,1203.384146,-21.38414612
500.873,1177,1203.384917,-26.38491739
500.908,1177,1203.385694,-26.38569387
500.943,1177,1203.386476,-26.38647559
500.978,1174,1203.387263,-29.38726261
501.013,1177,1203.388055,-26.38805498
501.048,1183,1203.388853,-20.38885274
501.083,1183,1203.389656,-20.38965594
501.118,1179,1203.390465,-24.39046463
501.153,1181,1203.391279,-22.39127887
501.188,1181,1203.392099,-22.3920987
501.223,1181,1203.392924,-22.39292418
501.258,1181,1203.393755,-22.39375535
501.293,1181,1203.394592,-22.39459227
501.328,1181,1203.395435,-22.395435
501.362,1181,1203.396259,-22.39625925
501.397,1176,1203.397114,-27.39711357
501.432,1176,1203.397974,-27.39797385
501.467,1172,1203.39884,-31.39884016
501.502,1172,1203.399713,-31.39971254
501.537,1176,1203.400591,-27.40059105
501.572,1172,1203.401476,-31.40147575
501.607,1175,1203.402367,-28.4023667
501.642,1180,1203.403264,-23.40326396
501.677,1180,1203.404168,-23.40416758
501.712,1175,1203.405078,-28.40507763
501.747,1177,1203.405994,-26.40599417
501.782,1177,1203.406917,-26.40691726
501.817,1172,1203.407847,-31.40784696
501.852,1172,1203.408783,-31.40878334
501.886,1174,1203.409699,-29.40969942
501.921,1174,1203.410649,-29.41064915
501.956,1176,1203.411606,-27.41160574
501.991,1176,1203.412569,-27.41256927
502.026,1176,1203.41354,-27.41353981
502.061,1181,1203.414517,-22.41451741
502.096,1182,1203.415502,-21.41550215
502.131,1178,1203.416494,-25.4164941
502.166,1178,1203.417493,-25.41749333
502.201,1179,1203.4185,-24.41849991
502.236,1178,1203.419514,-25.41951391
502.271,1171,1203.420535,-32.4205354
502.305,1170,1203.421535,-33.42153496
502.34,1170,1203.422571,-33.42257145
502.375,1170,1203.423616,-33.42361566
502.41,1171,1203.424668,-32.42466766
502.445,1173,1203.425728,-30.42572754
502.48,1175,1203.426795,-28.42679537
502.515,1189,1203.427871,-14.42787122
502.55,1189,1203.428955,-14.42895519
502.585,1189,1203.430047,-14.43004736
502.62,1186,1203.431148,-17.4311478
502.655,1177,1203.432257,-26.43225659
502.69,1177,1203.433374,-26.43337384
502.724,1177,1203.434467,-26.43446733
502.759,1177,1203.435601,-26.43560147
502.794,1179,1203.436744,-24.43674432
502.829,1179,1203.437896,-24.43789596
502.864,1181,1203.439056,-22.43905648
502.899,1189,1203.440226,-14.44022598
502.934,1189,1203.441405,-14.44140454
502.969,1189,1203.442592,-14.44259226
503.004,1189,1203.443789,-14.44378924
503.039,1186,1203.444996,-17.44499558
503.073,1182,1203.446176,-21.44617649
503.108,1182,1203.447402,-21.44740155
503.143,1180,1203.448636,-23.44863625
503.178,1180,1203.449881,-23.4498807
503.213,1180,1203.451135,-23.451135
503.248,1180,1203.452399,-23.45239926
503.283,1180,1203.453674,-23.45367357
503.318,1186,1203.454958,-17.45495805
503.353,1171,1203.456253,-32.45625281
503.388,1171,1203.457558,-32.45755795
503.422,1177,1203.458836,-26.45883586
503.457,1187,1203.460162,-16.4601618
503.492,1187,1203.461498,-16.46149846
503.527,1194,1203.462846,-9.462845964
503.562,1194,1203.464204,-9.464204417
503.597,1194,1203.465574,-9.465573942
503.632,1188,1203.466955,-15.46695466
503.667,1188,1203.468347,-15.46834669
503.702,1188,1203.46975,-15.46975017
503.736,1178,1203.471125,-25.47112461
503.771,1178,1203.472551,-25.472551
503.806,1179,1203.473989,-24.47398921
503.841,1178,1203.475439,-25.47543937
503.876,1179,1203.476902,-24.47690161
503.911,1193,1203.478376,-10.47837606
503.946,1194,1203.479863,-9.479862865
503.981,1194,1203.481362,-9.481362159
504.015,1194,1203.482831,-9.482830708
504.05,1194,1203.484355,-9.484355036
504.085,1185,1203.485892,-18.48589228
504.12,1183,1203.487443,-20.48744257
504.155,1183,1203.489006,-20.48900608
504.19,1189,1203.490583,-14.49058294
504.225,1189,1203.492173,-14.49217331
504.26,1190,1203.493777,-13.49377734
504.294,1192,1203.495349,-11.49534877
504.329,1192,1203.49698,-11.4969802
504.364,1190,1203.498626,-13.49862577
504.399,1190,1203.500286,-13.50028564
504.434,1190,1203.50196,-13.50195997
504.469,1185,1203.503649,-18.50364893
504.504,1185,1203.505353,-18.5053527
504.539,1185,1203.507071,-18.50707145
504.573,1184,1203.508756,-19.5087556
504.608,1184,1203.510504,-19.5105044
504.643,1182,1203.512269,-21.5122687
504.678,1182,1203.514049,-21.5140487
504.713,1194,1203.515845,-9.515844573
504.748,1202,1203.517657,-1.517656516
504.783,1197,1203.519485,-6.51948472
504.817,1197,1203.521276,-6.521276444
504.852,1194,1203.523137,-9.523137278
504.887,1189,1203.525015,-14.52501496
504.922,1189,1203.52691,-14.52690969
504.957,1189,1203.528822,-14.52882169
504.992,1195,1203.530751,-8.530751147
505.027,1195,1203.532698,-8.53269829
505.061,1208,1203.534607,4.465393062
505.096,1209,1203.53659,5.463410422
505.131,1208,1203.538591,4.461409447
505.166,1199,1203.54061,-4.54061009
505.201,1199,1203.542648,-4.542648418
505.236,1187,1203.544706,-16.54470577
505.271,1187,1203.546782,-16.54678239
505.305,1192,1203.548818,-11.54881835
