index,wavelength,raw_y,threshold_filtered_y,median_filtered_y,angle_deg
0,498.215,1177.0,1177.0,1177.0,-81.00685081791148
1,498.25,1185.0,1185.0,1175.0,-81.00685081791148
2,498.285,1173.0,1173.0,1176.0,-81.00685081791148
3,498.32,1169.0,1169.0,1175.0,-81.00685081791148
4,498.355,1176.0,1176.0,1173.0,-81.00685081791148
5,498.39,1175.0,1175.0,1169.0,-81.00685081791148
6,498.425,1168.0,1168.0,1169.0,-81.00685081791148
7,498.46,1169.0,1169.0,1169.0,-81.00685081791148
8,498.495,1169.0,1169.0,1169.0,-81.00685081791148
9,498.53,1162.0,1162.0,1169.0,-81.00685081791148
10,498.565,1178.0,1178.0,1169.0,-81.00685081791148
11,498.6,1184.0,1184.0,1174.0,-81.00685081791148
12,498.635,1159.0,1159.0,1178.0,-81.00685081791148
13,498.67,1174.0,1174.0,1174.0,-81.00685081791148
14,498.705,1184.0,1184.0,1174.0,-81.00685081791148
15,498.74,1156.0,1156.0,1177.0,-81.00685081791148
16,498.775,1177.0,1177.0,1177.0,-81.00685081791148
17,498.81,1186.0,1186.0,1177.0,-81.00685081791148
18,498.845,1167.0,1167.0,1177.0,-81.00685081791148
19,498.88,1185.0,1185.0,1175.0,-81.00685081791148
20,498.915,1175.0,1175.0,1175.0,-81.00685081791148
21,498.95,1164.0,1164.0,1177.0,-81.00685081791148
22,498.985,1177.0,1177.0,1177.0,-81.00685081791148
23,499.02,1181.0,1181.0,1177.0,-81.00685081791148
24,499.055,1177.0,1177.0,1177.0,-81.00685081791148
25,499.09,1157.0,1157.0,1177.0,-81.00685081791148
26,499.125,1190.0,1190.0,1177.0,-81.00685081791148
27,499.16,1176.0,1176.0,1190.0,-81.00685081791148
28,499.195,1222.0,1222.0,1190.0,-81.00685081791148
29,499.23,1192.0,1192.0,1179.0,-81.00685081791148
30,499.265,1179.0,1179.0,1179.0,-81.00685081791148
31,499.3,1179.0,1179.0,1179.0,-81.00685081791148
32,499.335,1178.0,1178.0,1178.0,-81.00685081791148
33,499.37,1178.0,1178.0,1178.0,-81.00685081791148
34,499.405,1175.0,1175.0,1178.0,-81.00685081791148
35,499.44,1181.0,1181.0,1178.0,-81.00685081791148
36,499.475,1159.0,1159.0,1180.0,-81.00685081791148
37,499.51,1189.0,1189.0,1180.0,-81.00685081791148
38,499.545,1180.0,1180.0,1159.0,-81.00685081791148
39,499.58,1158.0,1158.0,1180.0,-81.00685081791148
40,499.615,1156.0,1156.0,1171.0,-81.00685081791148
41,499.65,1183.0,1183.0,1164.0,-81.00685081791148
42,499.685,1171.0,1171.0,1171.0,-81.00685081791148
43,499.72,1164.0,1164.0,1171.0,-81.00685081791148
44,499.755,1175.0,1175.0,1168.0,-81.00685081791148
45,499.79,1161.0,1161.0,1165.0,-81.00685081791148
46,499.825,1168.0,1168.0,1168.0,-81.00685081791148
47,499.86,1165.0,1165.0,1168.0,-81.00685081791148
48,499.894,1182.0,1182.0,1171.0,-81.00685081791148
49,499.929,1177.0,1177.0,1177.0,-81.00685081791148
50,499.964,1171.0,1171.0,1182.0,-81.00685081791148
51,499.999,1195.0,1195.0,1179.0,-81.00685081791148
52,500.034,1195.0,1195.0,1179.0,-81.00685081791148
