wavelength,median_filtered_y,lorentz_fit_y,residual
513.265000,1207.000000,1212.595395,-5.595395
513.299000,1204.000000,1212.648089,-8.648089
513.334000,1204.000000,1212.704092,-8.704092
513.369000,1204.000000,1212.761958,-8.761958
513.403000,1204.000000,1212.820032,-8.820032
513.438000,1203.000000,1212.881816,-9.881816
513.473000,1203.000000,1212.945721,-9.945721
513.507000,1201.000000,1213.009925,-12.009925
513.542000,1203.000000,1213.078304,-10.078304
513.577000,1208.000000,1213.149112,-5.149112
513.611000,1211.000000,1213.220330,-2.220330
513.646000,1208.000000,1213.296267,-5.296267
513.681000,1208.000000,1213.374995,-5.374995
513.715000,1209.000000,1213.454275,-4.454275
513.750000,1209.000000,1213.538913,-4.538913
513.784000,1200.000000,1213.624217,-13.624217
513.819000,1209.000000,1213.715364,-4.715364
513.854000,1213.000000,1213.810066,-0.810066
513.888000,1215.000000,1213.905641,1.094359
513.923000,1215.000000,1214.007904,0.992096
513.958000,1217.000000,1214.114308,2.885692
513.992000,1217.000000,1214.221847,2.778153
514.027000,1217.000000,1214.337082,2.662918
514.062000,1213.000000,1214.457166,-1.457166
514.096000,1217.000000,1214.578720,2.421280
514.131000,1219.000000,1214.709178,4.290822
514.166000,1219.000000,1214.845350,4.154650
514.200000,1219.000000,1214.983418,4.016582
514.235000,1219.000000,1215.131853,3.868147
514.269000,1213.000000,1215.282532,-2.282532
514.304000,1213.000000,1215.444718,-2.444718
514.339000,1221.000000,1215.614521,5.385479
514.373000,1224.000000,1215.787214,8.212786
514.408000,1224.000000,1215.973456,8.026544
514.443000,1224.000000,1216.168836,7.831164
514.477000,1215.000000,1216.367946,-1.367946
514.512000,1215.000000,1216.583126,-1.583126
514.547000,1211.000000,1216.809353,-5.809353
514.581000,1211.000000,1217.040406,-6.040406
514.616000,1211.000000,1217.290670,-6.290670
514.650000,1217.000000,1217.546670,-0.546670
514.685000,1209.000000,1217.824399,-8.824399
514.720000,1213.000000,1218.117559,-5.117559
514.754000,1213.000000,1218.418191,-5.418191
514.789000,1217.000000,1218.745179,-1.745179
514.824000,1217.000000,1219.091262,-2.091262
514.858000,1222.000000,1219.447126,2.552874
514.893000,1222.000000,1219.835267,2.164733
514.927000,1221.000000,1220.235144,0.764856
514.962000,1221.000000,1220.672146,0.327854
514.997000,1221.000000,1221.136957,-0.136957
515.031000,1220.000000,1221.617296,-1.617296
