wavelength,median_filtered_y,lorentz_fit_y,residual
498.215000,1177.000000,1203.338321,-26.338321
498.250000,1175.000000,1203.338805,-28.338805
498.285000,1176.000000,1203.339293,-27.339293
498.320000,1175.000000,1203.339782,-28.339782
498.355000,1173.000000,1203.340275,-30.340275
498.390000,1169.000000,1203.340771,-34.340771
498.425000,1169.000000,1203.341269,-34.341269
498.460000,1169.000000,1203.341771,-34.341771
498.495000,1169.000000,1203.342275,-34.342275
498.530000,1169.000000,1203.342782,-34.342782
498.565000,1169.000000,1203.343293,-34.343293
498.600000,1174.000000,1203.343806,-29.343806
498.635000,1178.000000,1203.344322,-25.344322
498.670000,1174.000000,1203.344841,-29.344841
498.705000,1174.000000,1203.345364,-29.345364
498.740000,1177.000000,1203.345889,-26.345889
498.775000,1177.000000,1203.346418,-26.346418
498.810000,1177.000000,1203.346950,-26.346950
498.845000,1177.000000,1203.347485,-26.347485
498.880000,1175.000000,1203.348023,-28.348023
498.915000,1175.000000,1203.348564,-28.348564
498.950000,1177.000000,1203.349109,-26.349109
498.985000,1177.000000,1203.349656,-26.349656
499.020000,1177.000000,1203.350208,-26.350208
499.055000,1177.000000,1203.350762,-26.350762
499.090000,1177.000000,1203.351320,-26.351320
499.125000,1177.000000,1203.351881,-26.351881
499.160000,1190.000000,1203.352446,-13.352446
499.195000,1190.000000,1203.353014,-13.353014
499.230000,1179.000000,1203.353585,-24.353585
499.265000,1179.000000,1203.354160,-24.354160
499.300000,1179.000000,1203.354739,-24.354739
499.335000,1178.000000,1203.355321,-25.355321
499.370000,1178.000000,1203.355906,-25.355906
499.405000,1178.000000,1203.356496,-25.356496
499.440000,1178.000000,1203.357088,-25.357088
499.475000,1180.000000,1203.357685,-23.357685
499.510000,1180.000000,1203.358285,-23.358285
499.545000,1159.000000,1203.358889,-44.358889
499.580000,1180.000000,1203.359497,-23.359497
499.615000,1171.000000,1203.360108,-32.360108
499.650000,1164.000000,1203.360723,-39.360723
499.685000,1171.000000,1203.361343,-32.361343
499.720000,1171.000000,1203.361966,-32.361966
499.755000,1168.000000,1203.362593,-35.362593
499.790000,1165.000000,1203.363223,-38.363223
499.825000,1168.000000,1203.363858,-35.363858
499.860000,1168.000000,1203.364497,-35.364497
499.894000,1171.000000,1203.365122,-32.365122
499.929000,1177.000000,1203.365769,-26.365769
499.964000,1182.000000,1203.366420,-21.366420
499.999000,1179.000000,1203.367075,-24.367075
500.034000,1179.000000,1203.367734,-24.367734
500.069000,1179.000000,1203.368398,-24.368398
500.104000,1178.000000,1203.369065,-25.369065
500.139000,1169.000000,1203.369737,-34.369737
500.174000,1169.000000,1203.370414,-34.370414
500.209000,1169.000000,1203.371095,-34.371095
500.244000,1177.000000,1203.371780,-26.371780
500.279000,1177.000000,1203.372470,-26.372470
500.314000,1179.000000,1203.373164,-24.373164
500.349000,1178.000000,1203.373862,-25.373862
500.384000,1178.000000,1203.374566,-25.374566
500.419000,1193.000000,1203.375273,-10.375273
500.454000,1193.000000,1203.375986,-10.375986
500.489000,1178.000000,1203.376703,-25.376703
500.524000,1182.000000,1203.377425,-21.377425
500.559000,1182.000000,1203.378151,-21.378151
500.594000,1179.000000,1203.378883,-24.378883
500.629000,1182.000000,1203.379619,-21.379619
500.664000,1182.000000,1203.380360,-21.380360
500.699000,1182.000000,1203.381106,-21.381106
500.734000,1182.000000,1203.381857,-21.381857
500.768000,1184.000000,1203.382592,-19.382592
500.803000,1182.000000,1203.383353,-21.383353
500.838000,1182.000000,1203.384119,-21.384119
500.873000,1177.000000,1203.384890,-26.384890
500.908000,1177.000000,1203.385667,-26.385667
500.943000,1177.000000,1203.386448,-26.386448
500.978000,1174.000000,1203.387235,-29.387235
501.013000,1177.000000,1203.388028,-26.388028
501.048000,1183.000000,1203.388826,-20.388826
501.083000,1183.000000,1203.389629,-20.389629
501.118000,1179.000000,1203.390438,-24.390438
501.153000,1181.000000,1203.391252,-22.391252
501.188000,1181.000000,1203.392072,-22.392072
501.223000,1181.000000,1203.392897,-22.392897
501.258000,1181.000000,1203.393728,-22.393728
501.293000,1181.000000,1203.394565,-22.394565
501.328000,1181.000000,1203.395408,-22.395408
501.362000,1181.000000,1203.396232,-22.396232
501.397000,1176.000000,1203.397087,-27.397087
501.432000,1176.000000,1203.397947,-27.397947
501.467000,1172.000000,1203.398813,-31.398813
501.502000,1172.000000,1203.399686,-31.399686
501.537000,1176.000000,1203.400564,-27.400564
501.572000,1172.000000,1203.401449,-31.401449
501.607000,1175.000000,1203.402340,-28.402340
501.642000,1180.000000,1203.403237,-23.403237
501.677000,1180.000000,1203.404141,-23.404141
501.712000,1175.000000,1203.405051,-28.405051
501.747000,1177.000000,1203.405967,-26.405967
501.782000,1177.000000,1203.406890,-26.406890
501.817000,1172.000000,1203.407820,-31.407820
501.852000,1172.000000,1203.408757,-31.408757
501.886000,1174.000000,1203.409673,-29.409673
501.921000,1174.000000,1203.410622,-29.410622
501.956000,1176.000000,1203.411579,-27.411579
501.991000,1176.000000,1203.412543,-27.412543
502.026000,1176.000000,1203.413513,-27.413513
502.061000,1181.000000,1203.414491,-22.414491
502.096000,1182.000000,1203.415475,-21.415475
502.131000,1178.000000,1203.416467,-25.416467
502.166000,1178.000000,1203.417467,-25.417467
502.201000,1179.000000,1203.418473,-24.418473
502.236000,1178.000000,1203.419487,-25.419487
502.271000,1171.000000,1203.420509,-32.420509
502.305000,1170.000000,1203.421508,-33.421508
502.340000,1170.000000,1203.422545,-33.422545
502.375000,1170.000000,1203.423589,-33.423589
502.410000,1171.000000,1203.424641,-32.424641
502.445000,1173.000000,1203.425701,-30.425701
502.480000,1175.000000,1203.426769,-28.426769
502.515000,1189.000000,1203.427845,-14.427845
502.550000,1189.000000,1203.428929,-14.428929
502.585000,1189.000000,1203.430021,-14.430021
502.620000,1186.000000,1203.431121,-17.431121
502.655000,1177.000000,1203.432230,-26.432230
502.690000,1177.000000,1203.433347,-26.433347
502.724000,1177.000000,1203.434441,-26.434441
502.759000,1177.000000,1203.435575,-26.435575
502.794000,1179.000000,1203.436718,-24.436718
502.829000,1179.000000,1203.437870,-24.437870
502.864000,1181.000000,1203.439030,-22.439030
502.899000,1189.000000,1203.440200,-14.440200
502.934000,1189.000000,1203.441378,-14.441378
502.969000,1189.000000,1203.442566,-14.442566
503.004000,1189.000000,1203.443763,-14.443763
503.039000,1186.000000,1203.444969,-17.444969
503.073000,1182.000000,1203.446150,-21.446150
503.108000,1182.000000,1203.447375,-21.447375
503.143000,1180.000000,1203.448610,-23.448610
503.178000,1180.000000,1203.449854,-23.449854
503.213000,1180.000000,1203.451109,-23.451109
503.248000,1180.000000,1203.452373,-23.452373
503.283000,1180.000000,1203.453647,-23.453647
503.318000,1186.000000,1203.454932,-17.454932
503.353000,1171.000000,1203.456227,-32.456227
503.388000,1171.000000,1203.457532,-32.457532
503.422000,1177.000000,1203.458810,-26.458810
503.457000,1187.000000,1203.460136,-16.460136
503.492000,1187.000000,1203.461472,-16.461472
503.527000,1194.000000,1203.462820,-9.462820
503.562000,1194.000000,1203.464178,-9.464178
503.597000,1194.000000,1203.465548,-9.465548
503.632000,1188.000000,1203.466929,-15.466929
503.667000,1188.000000,1203.468321,-15.468321
503.702000,1188.000000,1203.469724,-15.469724
503.736000,1178.000000,1203.471099,-25.471099
503.771000,1178.000000,1203.472525,-25.472525
503.806000,1179.000000,1203.473963,-24.473963
503.841000,1178.000000,1203.475414,-25.475414
503.876000,1179.000000,1203.476876,-24.476876
503.911000,1193.000000,1203.478350,-10.478350
503.946000,1194.000000,1203.479837,-9.479837
503.981000,1194.000000,1203.481336,-9.481336
504.015000,1194.000000,1203.482805,-9.482805
504.050000,1194.000000,1203.484329,-9.484329
504.085000,1185.000000,1203.485867,-18.485867
504.120000,1183.000000,1203.487417,-20.487417
504.155000,1183.000000,1203.488980,-20.488980
504.190000,1189.000000,1203.490557,-14.490557
504.225000,1189.000000,1203.492148,-14.492148
504.260000,1190.000000,1203.493752,-13.493752
504.294000,1192.000000,1203.495323,-11.495323
504.329000,1192.000000,1203.496955,-11.496955
504.364000,1190.000000,1203.498600,-13.498600
504.399000,1190.000000,1203.500260,-13.500260
504.434000,1190.000000,1203.501935,-13.501935
504.469000,1185.000000,1203.503623,-18.503623
504.504000,1185.000000,1203.505327,-18.505327
504.539000,1185.000000,1203.507046,-18.507046
504.573000,1184.000000,1203.508730,-19.508730
504.608000,1184.000000,1203.510479,-19.510479
504.643000,1182.000000,1203.512243,-21.512243
504.678000,1182.000000,1203.514023,-21.514023
504.713000,1194.000000,1203.515819,-9.515819
504.748000,1202.000000,1203.517631,-1.517631
504.783000,1197.000000,1203.519460,-6.519460
504.817000,1197.000000,1203.521251,-6.521251
504.852000,1194.000000,1203.523112,-9.523112
504.887000,1189.000000,1203.524990,-14.524990
504.922000,1189.000000,1203.526885,-14.526885
504.957000,1189.000000,1203.528797,-14.528797
504.992000,1195.000000,1203.530726,-8.530726
505.027000,1195.000000,1203.532673,-8.532673
505.061000,1208.000000,1203.534582,4.465418
505.096000,1209.000000,1203.536565,5.463435
505.131000,1208.000000,1203.538566,4.461434
505.166000,1199.000000,1203.540585,-4.540585
505.201000,1199.000000,1203.542624,-4.542624
505.236000,1187.000000,1203.544681,-16.544681
505.271000,1187.000000,1203.546758,-16.546758
505.305000,1192.000000,1203.548794,-11.548794
505.340000,1187.000000,1203.550909,-16.550909
505.375000,1192.000000,1203.553044,-11.553044
505.410000,1192.000000,1203.555200,-11.555200
505.445000,1187.000000,1203.557376,-16.557376
505.480000,1187.000000,1203.559573,-16.559573
505.514000,1190.000000,1203.561727,-13.561727
505.549000,1190.000000,1203.563965,-13.563965
505.584000,1197.000000,1203.566225,-6.566225
505.619000,1197.000000,1203.568507,-6.568507
505.654000,1193.000000,1203.570811,-10.570811
505.689000,1206.000000,1203.573138,2.426862
505.724000,1199.000000,1203.575487,-4.575487
505.758000,1195.000000,1203.577791,-8.577791
505.793000,1198.000000,1203.580186,-5.580186
505.828000,1199.000000,1203.582604,-4.582604
505.863000,1198.000000,1203.585046,-5.585046
505.898000,1196.000000,1203.587513,-7.587513
505.933000,1196.000000,1203.590004,-7.590004
505.967000,1192.000000,1203.592447,-11.592447
506.002000,1187.000000,1203.594988,-16.594988
506.037000,1187.000000,1203.597554,-16.597554
506.072000,1187.000000,1203.600145,-16.600145
506.107000,1187.000000,1203.602763,-16.602763
506.142000,1187.000000,1203.605408,-16.605408
506.176000,1187.000000,1203.608002,-16.608002
506.211000,1187.000000,1203.610700,-16.610700
506.246000,1187.000000,1203.613426,-16.613426
506.281000,1187.000000,1203.616179,-16.616179
506.316000,1191.000000,1203.618961,-12.618961
506.350000,1196.000000,1203.621692,-7.621692
506.385000,1201.000000,1203.624531,-2.624531
506.420000,1203.000000,1203.627399,-0.627399
506.455000,1206.000000,1203.630298,2.369702
506.490000,1206.000000,1203.633228,2.366772
506.525000,1206.000000,1203.636188,2.363812
506.559000,1213.000000,1203.639093,9.360907
506.594000,1191.000000,1203.642115,-12.642115
506.629000,1186.000000,1203.645170,-17.645170
506.664000,1186.000000,1203.648257,-17.648257
506.699000,1194.000000,1203.651377,-9.651377
506.734000,1186.000000,1203.654531,-17.654531
506.768000,1194.000000,1203.657627,-9.657627
506.803000,1195.000000,1203.660848,-8.660848
506.838000,1196.000000,1203.664104,-7.664104
506.873000,1207.000000,1203.667396,3.332604
506.908000,1207.000000,1203.670724,3.329276
506.942000,1207.000000,1203.673992,3.326008
506.977000,1205.000000,1203.677393,1.322607
507.012000,1205.000000,1203.680831,1.319169
507.047000,1184.000000,1203.684307,-19.684307
507.082000,1200.000000,1203.687822,-3.687822
507.116000,1200.000000,1203.691275,-3.691275
507.151000,1200.000000,1203.694868,-3.694868
507.186000,1196.000000,1203.698502,-7.698502
507.221000,1196.000000,1203.702177,-7.702177
507.256000,1190.000000,1203.705894,-13.705894
507.290000,1190.000000,1203.709545,-13.709545
507.325000,1196.000000,1203.713346,-7.713346
507.360000,1190.000000,1203.717191,-13.717191
507.395000,1189.000000,1203.721080,-14.721080
507.430000,1201.000000,1203.725014,-2.725014
507.464000,1201.000000,1203.728880,-2.728880
507.499000,1205.000000,1203.732905,1.267095
507.534000,1205.000000,1203.736977,1.263023
507.569000,1209.000000,1203.741097,5.258903
507.604000,1210.000000,1203.745265,6.254735
507.638000,1210.000000,1203.749362,6.250638
507.673000,1208.000000,1203.753629,4.246371
507.708000,1208.000000,1203.757947,4.242053
507.743000,1208.000000,1203.762316,4.237684
507.778000,1208.000000,1203.766738,4.233262
507.812000,1212.000000,1203.771085,8.228915
507.847000,1212.000000,1203.775614,8.224386
507.882000,1214.000000,1203.780197,10.219803
507.917000,1214.000000,1203.784837,10.215163
507.952000,1208.000000,1203.789533,4.210467
507.986000,1203.000000,1203.794151,-0.794151
508.021000,1208.000000,1203.798963,4.201037
508.056000,1203.000000,1203.803834,-0.803834
508.091000,1203.000000,1203.808767,-0.808767
508.126000,1206.000000,1203.813761,2.186239
508.160000,1209.000000,1203.818672,5.181328
508.195000,1211.000000,1203.823791,7.176209
508.230000,1211.000000,1203.828976,7.171024
508.265000,1211.000000,1203.834226,7.165774
508.299000,1211.000000,1203.839390,7.160610
508.334000,1210.000000,1203.844774,6.155226
508.369000,1210.000000,1203.850227,6.149773
508.404000,1211.000000,1203.855751,7.144249
508.439000,1212.000000,1203.861347,8.138653
508.473000,1211.000000,1203.866853,7.133147
508.508000,1211.000000,1203.872594,7.127406
508.543000,1205.000000,1203.878411,1.121589
508.578000,1200.000000,1203.884306,-3.884306
508.612000,1200.000000,1203.890106,-3.890106
508.647000,1205.000000,1203.896156,1.103844
508.682000,1205.000000,1203.902288,1.097712
508.717000,1205.000000,1203.908501,1.091499
508.752000,1205.000000,1203.914799,1.085201
508.786000,1198.000000,1203.920999,-5.920999
508.821000,1198.000000,1203.927468,-5.927468
508.856000,1198.000000,1203.934025,-5.934025
508.891000,1202.000000,1203.940673,-1.940673
508.925000,1202.000000,1203.947218,-1.947218
508.960000,1214.000000,1203.954049,10.045951
508.995000,1214.000000,1203.960975,10.039025
509.030000,1202.000000,1203.967998,-1.967998
509.064000,1218.000000,1203.974916,14.025084
509.099000,1218.000000,1203.982136,14.017864
509.134000,1199.000000,1203.989459,-4.989459
509.169000,1194.000000,1203.996887,-9.996887
509.203000,1199.000000,1204.004205,-5.004205
509.238000,1199.000000,1204.011845,-5.011845
509.273000,1199.000000,1204.019597,-5.019597
509.308000,1201.000000,1204.027461,-3.027461
509.342000,1201.000000,1204.035210,-3.035210
509.377000,1198.000000,1204.043304,-6.043304
509.412000,1195.000000,1204.051517,-9.051517
509.447000,1193.000000,1204.059852,-11.059852
509.481000,1189.000000,1204.068068,-15.068068
509.516000,1193.000000,1204.076651,-11.076651
509.551000,1193.000000,1204.085363,-11.085363
509.586000,1193.000000,1204.094207,-11.094207
509.620000,1193.000000,1204.102928,-11.102928
509.655000,1199.000000,1204.112040,-5.112040
509.690000,1199.000000,1204.121293,-5.121293
509.725000,1214.000000,1204.130688,9.869312
509.759000,1199.000000,1204.139955,-5.139955
509.794000,1199.000000,1204.149642,-5.149642
509.829000,1199.000000,1204.159480,-5.159480
509.864000,1212.000000,1204.169474,7.830526
509.898000,1193.000000,1204.179334,-11.179334
509.933000,1198.000000,1204.189643,-6.189643
509.968000,1212.000000,1204.200118,7.799882
510.003000,1216.000000,1204.210761,11.789239
510.037000,1216.000000,1204.221265,11.778735
510.072000,1216.000000,1204.232252,11.767748
510.107000,1216.000000,1204.243419,11.756581
510.142000,1215.000000,1204.254770,10.745230
510.176000,1212.000000,1204.265976,7.734024
510.211000,1212.000000,1204.277700,7.722300
510.246000,1203.000000,1204.289621,-1.289621
510.281000,1212.000000,1204.301743,7.698257
510.315000,1212.000000,1204.313714,7.686286
510.350000,1212.000000,1204.326244,7.673756
510.385000,1212.000000,1204.338989,7.661011
510.420000,1214.000000,1204.351952,9.648048
510.454000,1214.000000,1204.364760,9.635240
510.489000,1208.000000,1204.378170,3.621830
510.524000,1208.000000,1204.391815,3.608185
510.558000,1208.000000,1204.405300,3.594700
510.593000,1205.000000,1204.419424,0.580576
510.628000,1208.000000,1204.433799,3.566201
510.663000,1217.000000,1204.448432,12.551568
510.697000,1219.000000,1204.462898,14.537102
510.732000,1219.000000,1204.478056,14.521944
510.767000,1219.000000,1204.493490,14.506510
510.801000,1219.000000,1204.508754,14.491246
510.836000,1214.000000,1204.524752,9.475248
510.871000,1214.000000,1204.541047,9.458953
510.906000,1214.000000,1204.557646,9.442354
510.940000,1214.000000,1204.574069,9.425931
510.975000,1214.000000,1204.591290,9.408710
511.010000,1214.000000,1204.608838,9.391162
511.045000,1219.000000,1204.626722,14.373278
511.079000,1220.000000,1204.644424,15.355576
511.114000,1219.000000,1204.662995,14.337005
511.149000,1219.000000,1204.681927,14.318073
511.183000,1220.000000,1204.700674,15.299326
511.218000,1220.000000,1204.720348,15.279652
511.253000,1212.000000,1204.740413,7.259587
511.288000,1220.000000,1204.760879,15.239121
511.322000,1224.000000,1204.781154,19.218846
511.357000,1224.000000,1204.802442,19.197558
511.392000,1217.000000,1204.824165,12.175835
511.426000,1217.000000,1204.845693,12.154307
511.461000,1216.000000,1204.868306,11.131694
511.496000,1212.000000,1204.891390,7.108610
511.530000,1212.000000,1204.914276,7.085724
511.565000,1212.000000,1204.938326,7.061674
511.600000,1209.000000,1204.962886,4.037114
511.635000,1209.000000,1204.987970,4.012030
511.669000,1209.000000,1205.012855,3.987145
511.704000,1209.000000,1205.039019,3.960981
511.739000,1213.000000,1205.065755,7.934245
511.773000,1213.000000,1205.092289,7.907711
511.808000,1206.000000,1205.120199,0.879801
511.843000,1203.000000,1205.148731,-2.148731
511.877000,1206.000000,1205.177062,0.822938
511.912000,1206.000000,1205.206877,0.793123
511.947000,1203.000000,1205.237370,-2.237370
511.982000,1209.000000,1205.268564,3.731436
512.016000,1216.000000,1205.299557,10.700443
512.051000,1209.000000,1205.332195,3.667805
512.086000,1206.000000,1205.365599,0.634401
512.120000,1216.000000,1205.398804,10.601196
512.155000,1206.000000,1205.433790,0.566210
512.190000,1202.000000,1205.469616,-3.469616
512.224000,1202.000000,1205.505248,-3.505248
512.259000,1209.000000,1205.542810,3.457190
512.294000,1202.000000,1205.581296,-3.581296
512.328000,1203.000000,1205.619596,-2.619596
512.363000,1205.000000,1205.659992,-0.659992
512.398000,1205.000000,1205.701406,-0.701406
512.432000,1205.000000,1205.742643,-0.742643
512.467000,1207.000000,1205.786163,1.213837
512.502000,1210.000000,1205.830806,4.169194
512.537000,1211.000000,1205.876612,5.123388
512.571000,1213.000000,1205.922258,7.077742
512.606000,1219.000000,1205.970473,13.029527
512.641000,1219.000000,1206.019974,12.980026
512.675000,1219.000000,1206.069337,12.930663
512.710000,1219.000000,1206.121510,12.878490
512.745000,1205.000000,1206.175112,-1.175112
512.779000,1202.000000,1206.228600,-4.228600
512.814000,1205.000000,1206.285173,-1.285173
512.849000,1202.000000,1206.343336,-4.343336
512.883000,1205.000000,1206.401417,-1.401417
512.918000,1209.000000,1206.462893,2.537107
512.953000,1209.000000,1206.526144,2.473856
512.987000,1209.000000,1206.589353,2.410647
513.022000,1210.000000,1206.656308,3.343692
513.057000,1220.000000,1206.725250,13.274750
513.091000,1210.000000,1206.794202,3.205798
513.126000,1210.000000,1206.867298,3.132702
513.161000,1210.000000,1206.942627,3.057373
513.195000,1207.000000,1207.018028,-0.018028
513.230000,1196.000000,1207.098030,-11.098030
513.265000,1207.000000,1207.180547,-0.180547
513.299000,1204.000000,1207.263217,-3.263217
513.334000,1204.000000,1207.351009,-3.351009
513.369000,1204.000000,1207.441646,-3.441646
513.403000,1204.000000,1207.532534,-3.532534
513.438000,1203.000000,1207.629145,-4.629145
513.473000,1203.000000,1207.728985,-4.728985
513.507000,1201.000000,1207.829199,-6.829199
513.542000,1203.000000,1207.935831,-4.935831
513.577000,1208.000000,1208.046140,-0.046140
513.611000,1211.000000,1208.156979,2.843021
513.646000,1208.000000,1208.275040,-0.275040
513.681000,1208.000000,1208.397308,-0.397308
513.715000,1209.000000,1208.520297,0.479703
513.750000,1209.000000,1208.651448,0.348552
513.784000,1200.000000,1208.783475,-8.783475
513.819000,1209.000000,1208.924374,0.075626
513.854000,1213.000000,1209.070581,3.929419
513.888000,1215.000000,1209.217943,5.782057
513.923000,1215.000000,1209.375403,5.624597
513.958000,1217.000000,1209.539005,7.460995
513.992000,1217.000000,1209.704114,7.295886
514.027000,1217.000000,1209.880769,7.119231
514.062000,1213.000000,1210.064565,2.935435
514.096000,1217.000000,1210.250309,6.749691
514.131000,1219.000000,1210.449321,8.550679
514.166000,1219.000000,1210.656680,8.343320
514.200000,1219.000000,1210.866542,8.133458
514.235000,1219.000000,1211.091731,7.908269
514.269000,1213.000000,1211.319872,1.680128
514.304000,1213.000000,1211.564930,1.435070
514.339000,1221.000000,1211.820936,9.179064
514.373000,1224.000000,1212.080717,11.919283
514.408000,1224.000000,1212.360224,11.639776
514.443000,1224.000000,1212.652718,11.347282
514.477000,1215.000000,1212.950035,2.049965
514.512000,1215.000000,1213.270491,1.729509
514.547000,1211.000000,1213.606445,-2.606445
514.581000,1211.000000,1213.948565,-2.948565
514.616000,1211.000000,1214.317995,-3.317995
514.650000,1217.000000,1214.694683,2.305317
514.685000,1209.000000,1215.101968,-6.101968
514.720000,1213.000000,1215.530345,-2.530345
514.754000,1213.000000,1215.968012,-2.968012
514.789000,1217.000000,1216.442193,0.557807
514.824000,1217.000000,1216.941976,0.058024
514.858000,1222.000000,1217.453670,4.546330
514.893000,1222.000000,1218.009235,3.990765
514.927000,1221.000000,1218.578857,2.421143
514.962000,1221.000000,1219.198215,1.801785
514.997000,1221.000000,1219.853417,1.146583
515.031000,1220.000000,1220.526687,-0.526687
515.066000,1220.000000,1221.260376,-1.260376
515.101000,1219.000000,1222.038284,-3.038284
515.135000,1220.000000,1222.839429,-2.839429
515.170000,1220.000000,1223.714410,-3.714410
515.204000,1218.000000,1224.616836,-6.616836
515.239000,1222.000000,1225.603838,-3.603838
515.274000,1230.000000,1226.654143,3.345857
515.308000,1230.000000,1227.739622,2.260378
