index,wavelength,median_filtered_y,lorentz_fit_y,residual
0,498.215000,1177.000000,1203.342254,-26.342254
1,498.250000,1175.000000,1203.342741,-28.342741
2,498.285000,1176.000000,1203.343231,-27.343231
3,498.320000,1175.000000,1203.343724,-28.343724
4,498.355000,1173.000000,1203.344219,-30.344219
5,498.390000,1169.000000,1203.344717,-34.344717
6,498.425000,1169.000000,1203.345218,-34.345218
7,498.460000,1169.000000,1203.345723,-34.345723
8,498.495000,1169.000000,1203.346230,-34.346230
9,498.530000,1169.000000,1203.346740,-34.346740
10,498.565000,1169.000000,1203.347253,-34.347253
11,498.600000,1174.000000,1203.347768,-29.347768
12,498.635000,1178.000000,1203.348287,-25.348287
13,498.670000,1174.000000,1203.348809,-29.348809
14,498.705000,1174.000000,1203.349334,-29.349334
15,498.740000,1177.000000,1203.349863,-26.349863
16,498.775000,1177.000000,1203.350394,-26.350394
17,498.810000,1177.000000,1203.350928,-26.350928
18,498.845000,1177.000000,1203.351466,-26.351466
19,498.880000,1175.000000,1203.352007,-28.352007
20,498.915000,1175.000000,1203.352551,-28.352551
21,498.950000,1177.000000,1203.353098,-26.353098
22,498.985000,1177.000000,1203.353648,-26.353648
23,499.020000,1177.000000,1203.354202,-26.354202
24,499.055000,1177.000000,1203.354759,-26.354759
25,499.090000,1177.000000,1203.355320,-26.355320
26,499.125000,1177.000000,1203.355884,-26.355884
27,499.160000,1190.000000,1203.356451,-13.356451
28,499.195000,1190.000000,1203.357022,-13.357022
29,499.230000,1179.000000,1203.357596,-24.357596
30,499.265000,1179.000000,1203.358173,-24.358173
31,499.300000,1179.000000,1203.358754,-24.358754
32,499.335000,1178.000000,1203.359339,-25.359339
33,499.370000,1178.000000,1203.359927,-25.359927
34,499.405000,1178.000000,1203.360519,-25.360519
35,499.440000,1178.000000,1203.361114,-25.361114
36,499.475000,1180.000000,1203.361714,-23.361714
37,499.510000,1180.000000,1203.362316,-23.362316
38,499.545000,1159.000000,1203.362923,-44.362923
39,499.580000,1180.000000,1203.363533,-23.363533
40,499.615000,1171.000000,1203.364147,-32.364147
41,499.650000,1164.000000,1203.364765,-39.364765
42,499.685000,1171.000000,1203.365387,-32.365387
43,499.720000,1171.000000,1203.366012,-32.366012
44,499.755000,1168.000000,1203.366642,-35.366642
45,499.790000,1165.000000,1203.367275,-38.367275
46,499.825000,1168.000000,1203.367912,-35.367912
47,499.860000,1168.000000,1203.368554,-35.368554
48,499.894000,1171.000000,1203.369199,-32.369199
49,499.929000,1177.000000,1203.369848,-26.369848
50,499.964000,1182.000000,1203.370502,-21.370502
51,499.999000,1179.000000,1203.371160,-24.371160
52,500.034000,1179.000000,1203.371822,-24.371822
53,500.069000,1179.000000,1203.372488,-24.372488
54,500.104000,1178.000000,1203.373158,-25.373158
55,500.139000,1169.000000,1203.373833,-34.373833
56,500.174000,1169.000000,1203.374512,-34.374512
57,500.209000,1169.000000,1203.375195,-34.375195
58,500.244000,1177.000000,1203.375883,-26.375883
59,500.279000,1177.000000,1203.376575,-26.376575
60,500.314000,1179.000000,1203.377271,-24.377271
61,500.349000,1178.000000,1203.377972,-25.377972
62,500.384000,1178.000000,1203.378678,-25.378678
63,500.419000,1193.000000,1203.379388,-10.379388
64,500.454000,1193.000000,1203.380103,-10.380103
65,500.489000,1178.000000,1203.380823,-25.380823
66,500.524000,1182.000000,1203.381547,-21.381547
