index,wavelength,raw_y,threshold_filtered_y,median_filtered_y,angle_deg
0,498.215,1103.0,1103.0,1105.0,-53.418808847035464
1,498.25,1108.0,1108.0,1106.5,-53.418808847035464
2,498.285,1105.0,1105.0,1108.0,-53.418808847035464
3,498.32,1109.0,1109.0,1108.0,-53.418808847035464
4,498.355,1110.0,1110.0,1108.0,-53.418808847035464
5,498.39,1108.0,1108.0,1109.0,-53.418808847035464
6,498.425,1093.0,1093.0,1108.0,-53.418808847035464
7,498.46,1115.0,1115.0,1102.0,-53.418808847035464
8,498.495,1098.0,1098.0,1102.0,-53.418808847035464
9,498.53,1102.0,1102.0,1102.0,-53.418808847035464
10,498.565,1121.0,1121.0,1102.0,-53.418808847035464
11,498.6,1102.0,1102.0,1106.0,-53.418808847035464
12,498.635,1117.0,1117.0,1106.0,-53.418808847035464
13,498.67,1106.0,1106.0,1105.0,-53.418808847035464
14,498.705,1100.0,1100.0,1105.0,-53.418808847035464
15,498.74,1105.0,1105.0,1105.0,-53.418808847035464
16,498.775,1099.0,1099.0,1105.0,-53.418808847035464
17,498.81,1112.0,1112.0,1112.0,-53.418808847035464
18,498.845,1112.0,1112.0,1112.0,-53.418808847035464
19,498.88,1115.0,1115.0,1112.0,-53.418808847035464
20,498.915,1106.0,1106.0,1112.0,-53.418808847035464
21,498.95,1114.0,1114.0,1106.0,-53.418808847035464
22,498.985,1092.0,1092.0,1101.0,-53.418808847035464
23,499.02,1101.0,1101.0,1101.0,-53.418808847035464
24,499.055,1098.0,1098.0,1098.0,-53.418808847035464
25,499.09,1111.0,1111.0,1101.0,-53.418808847035464
26,499.125,1089.0,1089.0,1109.0,-53.418808847035464
27,499.16,1109.0,1109.0,1111.0,-53.418808847035464
28,499.195,1153.0,1153.0,1109.0,-53.418808847035464
29,499.23,1113.0,1113.0,1112.0,-53.418808847035464
30,499.265,1105.0,1105.0,1113.0,-53.418808847035464
31,499.3,1112.0,1112.0,1112.0,-53.418808847035464
32,499.335,1120.0,1120.0,1112.0,-53.418808847035464
33,499.37,1106.0,1106.0,1112.0,-53.418808847035464
34,499.405,1113.0,1113.0,1107.0,-53.418808847035464
35,499.44,1107.0,1107.0,1106.0,-53.418808847035464
36,499.475,1106.0,1106.0,1106.0,-53.418808847035464
37,499.51,1099.0,1099.0,1105.0,-53.418808847035464
38,499.545,1094.0,1094.0,1099.0,-53.418808847035464
39,499.58,1105.0,1105.0,1099.0,-53.418808847035464
40,499.615,1093.0,1093.0,1102.0,-53.418808847035464
41,499.65,1102.0,1102.0,1105.0,-53.418808847035464
42,499.685,1117.0,1117.0,1103.0,-53.418808847035464
43,499.72,1107.0,1107.0,1103.0,-53.418808847035464
44,499.755,1103.0,1103.0,1107.0,-53.418808847035464
45,499.79,1100.0,1100.0,1103.0,-53.418808847035464
