x,y,lorentz_fit_y,residual
498.215,1115,,
498.25,1109,,
498.285,1103,,
498.32,1112,,
498.355,1112,,
498.39,1112,,
498.425,1112,,
498.46,1112,,
498.495,1112,,
498.53,1112,,
498.565,1116,,
498.6,1102,,
498.635,1116,,
498.67,1116,,
498.705,1108,,
498.74,1105,,
498.775,1108,,
498.81,1108,,
498.845,1108,,
498.88,1108,,
498.915,1109,,
498.95,1111,,
498.985,1108,,
499.02,1111,,
499.055,1111,,
499.09,1111,,
499.125,1111,,
499.16,1112,,
499.195,1122,,
499.23,1112,,
499.265,1115,,
499.3,1114,,
499.335,1114,,
499.37,1114,,
499.405,1114,,
499.44,1108,,
499.475,1102,,
499.51,1106,,
499.545,1106,,
499.58,1106,,
499.615,1106,,
499.65,1106,,
499.685,1106,,
499.72,1108,,
499.755,1108,,
499.79,1108,,
499.825,1108,,
499.86,1116,,
499.894,1118,,
499.929,1118,,
499.964,1118,,
499.999,1118,,
500.034,1109,,
500.069,1109,,
500.104,1109,,
500.139,1109,,
500.174,1109,,
500.209,1115,,
500.244,1115,,
500.279,1109,,
500.314,1109,,
500.349,1109,,
500.384,1109,,
500.419,1109,,
500.454,1108,,
500.489,1108,,
500.524,1101,,
500.559,1101,,
500.594,1109,,
500.629,1109,,
500.664,1109,,
500.699,1112,,
500.734,1112,,
500.768,1112,,
500.803,1112,,
500.838,1111,,
500.873,1111,,
500.908,1111,,
500.943,1111,,
500.978,1111,,
501.013,1111,,
501.048,1106,,
501.083,1106,,
501.118,1106,,
501.153,1106,,
501.188,1100,,
501.223,1106,,
501.258,1100,,
501.293,1100,,
501.328,1106,,
501.362,1106,,
501.397,1107,,
501.432,1107,,
501.467,1105,,
501.502,1105,,
501.537,1105,,
501.572,1105,,
501.607,1105,,
501.642,1107,,
501.677,1107,,
501.712,1107,,
501.747,1109,,
501.782,1107,,
501.817,1107,,
501.852,1107,,
501.886,1107,,
501.921,1106,,
501.956,1106,,
501.991,1106,,
502.026,1106,,
502.061,1106,,
502.096,1112,,
502.131,1112,,
502.166,1115,,
502.201,1115,,
502.236,1111,,
502.271,1109,,
502.305,1111,,
502.34,1109,,
502.375,1106,,
502.41,1106,,
502.445,1107,,
502.48,1107,,
502.515,1113,,
502.55,1113,,
502.585,1118,,
502.62,1113,,
502.655,1112,,
502.69,1112,,
502.724,1116,,
502.759,1116,,
502.794,1116,,
502.829,1116,,
502.864,1114,,
502.899,1113,,
502.934,1113,,
502.969,1114,,
503.004,1114,,
503.039,1113,,
503.073,1111,,
503.108,1111,,
503.143,1108,,
503.178,1110,,
503.213,1110,,
503.248,1110,,
503.283,1110,,
503.318,1110,,
503.353,1101,,
503.388,1106,,
503.422,1106,,
503.457,1106,,
503.492,1119,,
503.527,1119,,
503.562,1119,,
503.597,1119,,
503.632,1118,,
503.667,1116,,
503.702,1114,,
503.736,1114,,
503.771,1108,,
503.806,1114,,
503.841,1111,,
503.876,1111,,
503.911,1115,,
503.946,1115,,
503.981,1113,,
504.015,1115,,
504.05,1113,,
504.085,1113,,
504.12,1116,,
504.155,1121,,
504.19,1121,,
504.225,1121,,
504.26,1120,,
504.294,1115,,
504.329,1115,,
504.364,1111,,
504.399,1111,,
504.434,1111,,
504.469,1111,,
504.504,1111,,
504.539,1111,,
504.573,1111,,
504.608,1115,,
504.643,1117,,
504.678,1117,,
504.713,1117,,
504.748,1117,,
504.783,1117,,
504.817,1117,,
504.852,1114,,
504.887,1114,,
504.922,1120,,
504.957,1114,,
504.992,1114,,
505.027,1126,,
505.061,1110,,
505.096,1110,,
505.131,1110,,
505.166,1106,,
505.201,1106,,
505.236,1115,,
505.271,1123,,
505.305,1123,,
505.34,1123,,
505.375,1130,,
505.41,1127,,
505.445,1121,,
505.48,1121,,
505.514,1124,,
505.549,1124,,
505.584,1120,,
505.619,1124,,
505.654,1124,,
505.689,1123,,
505.724,1119,,
505.758,1117,,
505.793,1115,,
505.828,1115,,
505.863,1111,,
505.898,1108,,
505.933,1107,,
505.967,1107,,
506.002,1107,,
506.037,1116,,
506.072,1116,,
506.107,1116,,
506.142,1115,,
506.176,1113,,
506.211,1113,,
506.246,1114,,
506.281,1114,,
506.316,1117,,
506.35,1119,,
506.385,1119,,
506.42,1119,,
506.455,1119,,
506.49,1119,,
506.525,1120,,
506.559,1120,,
506.594,1120,,
506.629,1120,,
506.664,1121,,
506.699,1121,,
506.734,1124,,
506.768,1124,,
506.803,1124,,
506.838,1124,,
506.873,1123,,
506.908,1120,,
506.942,1118,,
506.977,1118,,
507.012,1118,,
507.047,1118,,
507.082,1118,,
507.116,1120,,
507.151,1122,,
507.186,1124,,
507.221,1124,,
507.256,1124,,
507.29,1124,,
507.325,1125,,
507.36,1124,,
507.395,1124,,
507.43,1124,,
507.464,1124,,
507.499,1124,,
507.534,1119,,
507.569,1124,,
507.604,1124,,
507.638,1119,,
507.673,1119,,
507.708,1124,,
507.743,1111,,
507.778,1120,,
507.812,1124,,
507.847,1120,,
507.882,1114,,
507.917,1120,,
507.952,1122,,
507.986,1122,,
508.021,1122,,
508.056,1122,,
508.091,1122,,
508.126,1123,,
508.16,1123,,
508.195,1123,,
508.23,1123,,
508.265,1118,,
508.299,1118,,
508.334,1117,,
508.369,1115,,
508.404,1115,,
508.439,1115,,
508.473,1115,,
508.508,1118,,
508.543,1119,,
508.578,1119,,
508.612,1119,,
508.647,1121,,
508.682,1118,,
508.717,1117,,
508.752,1114,,
508.786,1114,,
508.821,1114,,
508.856,1113,,
508.891,1113,,
508.925,1116,,
508.96,1115,,
508.995,1113,,
509.03,1115,,
509.064,1115,,
509.099,1110,,
509.134,1109,,
509.169,1110,,
509.203,1110,,
509.238,1112,,
509.273,1116,,
509.308,1117,,
509.342,1117,,
509.377,1116,,
509.412,1116,,
509.447,1116,,
509.481,1116,,
509.516,1116,,
509.551,1116,,
509.586,1116,,
509.62,1115,,
509.655,1115,,
509.69,1121,,
509.725,1121,,
509.759,1112,,
509.794,1127,,
509.829,1116,,
509.864,1116,,
509.898,1116,,
509.933,1127,,
509.968,1122,,
510.003,1125,1115.972564,9.027436482
510.037,1122,1115.975314,6.024686029
510.072,1122,1115.978194,6.021805844
510.107,1122,1115.981125,6.018874967
510.142,1120,1115.984108,4.015892205
510.176,1117,1115.987056,1.012943818
510.211,1118,1115.990145,2.009855135
510.246,1118,1115.993289,2.006710809
510.281,1118,1115.996491,2.003509499
510.315,1118,1115.999656,2.000343781
510.35,1119,1116.002974,2.997026045
510.385,1119,1116.006353,2.993647098
510.42,1119,1116.009795,2.990205427
510.454,1119,1116.013199,2.986800553
510.489,1120,1116.016769,3.983230621
510.524,1118,1116.020407,1.979593196
510.558,1118,1116.024007,1.97599345
510.593,1128,1116.027782,11.97221792
510.628,1118,1116.03163,1.968369657
510.663,1118,1116.035553,1.964446799
510.697,1116,1116.039437,-0.03943724278
510.732,1116,1116.043513,-0.04351289059
510.767,1116,1116.047669,-0.04766907013
510.801,1120,1116.051786,3.948214367
510.836,1122,1116.056107,5.943893125
510.871,1122,1116.060515,5.939484819
510.906,1122,1116.065013,5.934987102
510.94,1122,1116.06947,5.930529977
510.975,1122,1116.074151,5.925848814
511.01,1122,1116.078929,5.921070789
511.045,1122,1116.083807,5.916193222
511.079,1124,1116.088643,7.911357069
511.114,1124,1116.093725,7.90627505
511.149,1124,1116.098915,7.901084961
511.183,1124,1116.104063,7.895936764
511.218,1121,1116.109475,4.89052452
511.253,1119,1116.115005,2.884994749
511.288,1116,1116.120656,-0.1206559607
511.322,1116,1116.126264,-0.1262643798
511.357,1116,1116.132164,-0.1321639933
511.392,1116,1116.138195,-0.1381954399
511.426,1116,1116.144185,-0.1441845314
511.461,1119,1116.150488,2.849512445
511.496,1121,1116.156935,4.843065446
511.53,1121,1116.163339,4.836660612
511.565,1116,1116.170083,-0.1700832645
511.6,1116,1116.176985,-0.1769846836
511.635,1116,1116.184049,-0.1840485653
511.669,1110,1116.191071,-6.191071036
511.704,1116,1116.19847,-0.1984703681
511.739,1120,1116.206048,3.793952045
511.773,1122,1116.213585,5.786414829
511.808,1122,1116.221531,5.778468791
511.843,1124,1116.229673,7.77032675
511.877,1124,1116.237776,7.76222353
511.912,1124,1116.246324,7.753675904
511.947,1117,1116.255088,0.7449122786
511.982,1117,1116.264075,0.7359253582
512.016,1117,1116.273026,0.726974181
512.051,1118,1116.282476,1.717524471
512.086,1118,1116.292172,1.707827906
512.12,1118,1116.301836,1.698163838
512.155,1118,1116.312045,1.687955018
512.19,1121,1116.322527,4.677472613
512.224,1124,1116.332982,7.667018446
512.259,1124,1116.344032,7.65596758
512.294,1124,1116.355387,7.644612713
512.328,1124,1116.366719,7.63328058
512.363,1124,1116.378707,7.621293184
512.398,1124,1116.391033,7.608967056
512.432,1119,1116.403343,2.596656629
512.467,1123,1116.416375,6.583624696
512.502,1123,1116.429786,6.570214242
512.537,1123,1116.443589,6.556410584
512.571,1120,1116.45739,3.542610208
512.606,1123,1116.472014,6.527985572
512.641,1120,1116.48708,3.512919737
512.675,1115,1116.502155,-1.502154961
512.71,1114,1116.518143,-2.518143477
512.745,1114,1116.534629,-2.534628662
512.779,1114,1116.551138,-2.551137948
512.814,1114,1116.568664,-2.568663598
512.849,1117,1116.58675,0.4132497125
512.883,1120,1116.60488,3.395119846
512.918,1117,1116.624144,0.3758557171
512.953,1117,1116.644044,0.3559555288
512.987,1115,1116.664012,-1.664011694
513.022,1115,1116.685249,-1.685249317
513.057,1114,1116.707211,-2.707210828
513.091,1115,1116.729269,-1.729269204
513.126,1113,1116.752756,-3.752755903
513.161,1113,1116.77707,-3.777069799
513.195,1113,1116.801518,-3.801517891
513.23,1113,1116.827578,-3.827578383
513.265,1113,1116.854588,-3.854588207
513.299,1114,1116.881779,-2.881779007
513.334,1120,1116.910798,3.089202128
513.369,1121,1116.940911,4.059088771
513.403,1121,1116.971264,4.028735698
513.438,1120,1117.003699,2.996300511
513.473,1120,1117.037403,2.96259734
513.507,1120,1117.07142,2.928580492
513.542,1120,1117.107819,2.892180545
513.577,1111,1117.145696,-6.145695971
513.611,1121,1117.18398,3.816020404
513.646,1121,1117.225005,3.774994914
513.681,1121,1117.267759,3.732240503
513.715,1121,1117.311039,3.688960504
513.75,1121,1117.357492,3.642508236
513.784,1117,1117.404566,-0.4045655703
513.819,1117,1117.455145,-0.4551452701
513.854,1117,1117.508002,-0.5080024125
513.888,1117,1117.561659,-0.5616587292
513.923,1119,1117.619413,1.380587454
513.958,1119,1117.679877,1.320122952
513.992,1119,1117.741369,1.258631135
514.027,1119,1117.807682,1.192318467
514.062,1119,1117.877243,1.122757202
514.096,1118,1117.948126,0.05187397407
514.131,1118,1118.024722,-0.02472150239
514.166,1119,1118.105239,0.8947612724
514.2,1118,1118.187461,-0.1874607452
514.235,1118,1118.276503,-0.2765025353
514.269,1117,1118.367566,-1.367565818
514.304,1115,1118.466334,-3.466333536
514.339,1115,1118.570559,-3.570559261
514.373,1115,1118.677407,-3.677406512
514.408,1118,1118.793578,-0.7935778019
514.443,1118,1118.916481,-0.9164807534
