index,time,action_name,annotated_frame_path,angle_deg,angle_source,ac_distance_px,a_center_x,a_center_y,b_center_x,b_center_y,c_center_x,c_center_y,a_mask_area_px,b_mask_area_px,c_mask_area_px
1,2026-06-10 16:35:02.143,ANGLE_current_angle,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000001_20260610_163502_123394_ANGLE_current_angle.png,8.426969021480673,rule_ab_guarded_bmask,128.77966313332507,594.1095079541251,582.9898877790109,534.3870108735853,508.17493897477624,552.6254319281271,382.00921446671276,8109,13519,13023
2,2026-06-10 16:35:32.578,ANGLE_current_angle,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000002_20260610_163532_558877_ANGLE_current_angle.png,9.039482803355128,rule_ab_guarded_bmask,114.05533698187725,596.6,566.1012002526847,539.2559094018393,496.69795546097134,552.6254319281271,382.00921446671276,7915,13157,13023
3,2026-06-10 16:35:43.357,ROUTE_SAFE_DOWN,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000003_20260610_163543_337241_ROUTE_SAFE_DOWN.png,11.976132444203358,rule_ab_guarded_bmask_route_frame,120.35143495892792,594.1031673018794,573.9793665396242,539.5469087121494,497.181459712819,552.6254319281271,382.00921446671276,7609,13441,13023
4,2026-06-10 16:35:43.977,ANGLE_rule_ab_edge_step_2_before_move,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000004_20260610_163543_957644_ANGLE_rule_ab_edge_step_2_before_move.png,11.592175410291048,rule_ab_guarded_bmask,128.9484942279278,592.9065791273424,583.6007386130489,540.0644158151932,497.36694802310086,552.6254319281271,382.00921446671276,7311,13506,13023
5,2026-06-10 16:35:51.017,ROUTE_SAFE_DOWN,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000005_20260610_163550_997473_ROUTE_SAFE_DOWN.png,10.080597987542319,rule_ab_guarded_bmask_route_frame,129.23040912286743,593.8652842625652,583.5579511123318,540.3561203622553,497.44807186678355,552.6254319281271,382.00921446671276,7282,13692,13023
6,2026-06-10 16:35:51.760,ANGLE_rule_ab_edge_step_3_before_move,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000006_20260610_163551_741205_ANGLE_rule_ab_edge_step_3_before_move.png,12.994616791916513,rule_ab_guarded_bmask,135.52723577832035,588.6145808596533,591.9097601519829,537.3223531235467,492.3197953805612,552.6254319281271,382.00921446671276,8422,12902,13023
7,2026-06-10 16:35:54.856,ANGLE_current_angle,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000007_20260610_163554_836200_ANGLE_current_angle.png,12.094757077012076,rule_ab_guarded_bmask,135.9014526594663,594.0127832655432,590.5771353864033,537.6587887740029,501.30962931701487,552.6254319281271,382.00921446671276,6884,14217,13023
1,2026-06-10 16:57:31.809,ANGLE_current_angle,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000001_20260610_165731_769087_ANGLE_current_angle.png,13.091893064346863,rule_ab_guarded_bmask,144.63635417316328,586.3972042727153,595.2828695766847,534.9106902230873,499.3430154214703,557.1478740276414,376.7994864436221,7583,13358,13241
2,2026-06-10 16:57:41.948,ROUTE_RIGHT,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000002_20260610_165741_909088_ROUTE_RIGHT.png,11.592175410291048,route_internal_pre_move_guarded_bmask_frame,143.85706845166555,586.6874170587525,594.377729521052,535.0542677310408,496.36037764814245,557.1478740276414,376.7994864436221,8289,13028,13241
3,2026-06-10 16:57:42.430,ANGLE_rule_ab_edge_step_2_before_move,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000003_20260610_165742_391335_ANGLE_rule_ab_edge_step_2_before_move.png,11.888658039627956,rule_ab_guarded_bmask,143.0415750721956,587.7140348676784,593.1982942430703,535.7831003132401,498.27870731148295,557.1478740276414,376.7994864436221,7973,13089,13241
4,2026-06-10 16:57:49.294,ROUTE_RIGHT,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000004_20260610_165749_255308_ROUTE_RIGHT.png,10.539183728628217,route_internal_pre_move_guarded_bmask_frame,143.59532877987309,587.9890900074387,593.691544755765,536.052559519282,497.08861337187193,557.1478740276414,376.7994864436221,8066,13147,13241
5,2026-06-10 16:57:49.766,ANGLE_rule_ab_edge_step_3_before_move,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000005_20260610_165749_727018_ANGLE_rule_ab_edge_step_3_before_move.png,12.20046872738078,rule_ab_guarded_bmask,143.41589361779694,588.4618055555555,593.3497942386831,536.089239836784,498.908493274898,557.1478740276414,376.7994864436221,7776,13234,13241
6,2026-06-10 16:57:56.590,ROUTE_RIGHT,measurement_output\rule_ab_from_measurement\annotated_frames\frame_000006_20260610_165756_550377_ROUTE_RIGHT.png,12.20046872738078,route_internal_pre_move_guarded_bmask_frame,143.18960094375743,587.6344930789376,593.3792243421873,536.013397642015,497.5429490124024,557.1478740276414,376.7994864436221,8019,13062,13241
