a_area,a_conf,a_source,a_x,a_y,ab_b_contact_x,ab_b_contact_y,ab_edge_dist,ab_overlap,ab_overlap_area,ab_status,ac_c_contact_x,ac_c_contact_y,ac_clearance,ac_collision_like,ac_raw_dist,ac_status,action_id,action_name,action_step,b_area,b_conf,b_edge_angle_deg,b_edge_x1,b_edge_x2,b_edge_y1,b_edge_y2,b_source,b_x,b_y,c_area,c_conf,c_contour_points,c_source,c_x,c_y,contact_valid,cycle,direction,distance_status,error,ok,stage_x,stage_y,static_c_map_name,time
8636.5,1.0,sam2,459.42934058935913,286.03988884386035,395.7319063199822,324.9886384608042,74.66169184545029,False,0.0,ab_no_overlap,467.0,418.0,132.1771002112418,False,132.1771002112418,ac_ok,3,LEFT,20,9905.5,1.0,58.55567503991527,463.0,367.0,435.0,278.0,sam2,394.5398515975973,370.1662039607625,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,1,left,ac_ok|ab_no_overlap,,True,0.0,0.0,default_static_c_map,1781007217.6311922
8732.5,1.0,sam2,458.59648821452424,296.0989598244107,400.8988110289751,329.72409619744593,66.78077379540503,False,0.0,ab_no_overlap,467.0,418.0,122.1903539818887,False,122.1903539818887,ac_ok,3,LEFT,20,9884.5,1.0,59.76716076739058,464.0,376.0,438.0,287.0,sam2,394.05149476453033,369.1720538890856,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,2,left,ac_ok|ab_no_overlap,,True,20.0,0.0,default_static_c_map,1781007225.6686764
9035.0,1.0,sam2,453.67732890610586,297.5572034679948,398.7286112153191,330.66295263573585,64.15101093372705,False,0.0,ab_no_overlap,467.0,418.0,121.17739393767341,False,121.17739393767341,ac_ok,3,LEFT,20,9743.0,1.0,58.931689241802985,464.0,367.0,439.0,278.0,sam2,394.28398166204795,369.8094016216771,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,3,left,ac_ok|ab_no_overlap,,True,40.0,0.0,default_static_c_map,1781007233.350775
8857.0,1.0,sam2,452.40977005005453,300.5131910729743,401.3751954201847,330.14616989031805,59.01390718500935,False,0.0,ab_no_overlap,467.0,418.0,118.38929462518026,False,118.38929462518026,ac_ok,3,LEFT,20,10034.5,1.0,59.85861444792465,464.0,374.0,438.0,283.0,sam2,393.7675851645157,369.02609331140894,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,4,left,ac_ok|ab_no_overlap,,True,60.0,0.0,default_static_c_map,1781007241.165507
9084.0,1.0,sam2,451.8817884925877,302.9323902832819,398.3636035264905,337.80553016441615,63.87747652525533,False,0.0,ab_no_overlap,467.0,418.0,116.05651694369348,False,116.05651694369348,ac_ok,3,LEFT,20,9810.0,1.0,56.911215431971584,463.0,362.0,437.0,282.0,sam2,390.59875976894324,371.54979612640165,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,5,left,ac_ok|ab_no_overlap,,True,80.0,0.0,default_static_c_map,1781007248.7650628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,A mask 面积过小: area=0.0,False,,,,1781007272.4305701
8876.0,1.0,sam2,448.2453995793901,307.1945132942767,397.2734613536708,342.40539167388545,61.95114561289517,False,0.0,ab_no_overlap,467.0,418.0,112.38145274478775,False,112.38145274478775,ac_ok,3,LEFT,20,9839.0,1.0,55.363691822447095,464.0,359.0,439.0,287.0,sam2,389.1487278517464,374.78998543212384,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,7,left,ac_ok|ab_no_overlap,,True,100.0,0.0,default_static_c_map,1781007273.763985
8831.0,1.0,sam2,444.86815385196087,303.96012154153925,394.69843242464333,338.81830461116897,61.09086572484028,False,0.0,ab_no_overlap,467.0,418.0,116.16760517778171,False,116.16760517778171,ac_ok,3,LEFT,20,10037.5,1.0,55.20822635881383,465.0,358.0,440.0,286.0,sam2,389.3009713574097,374.8593773349938,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,8,left,ac_ok|ab_no_overlap,,True,120.0,0.0,default_static_c_map,1781007281.0779324
8984.5,1.0,sam2,441.79893149312704,304.8316545161111,394.84274094741147,336.9761607957285,56.90477233524366,False,0.0,ab_no_overlap,467.0,418.0,115.94036516006383,False,115.94036516006383,ac_ok,3,LEFT,20,10059.5,1.0,55.6058723128624,464.0,362.0,438.0,289.0,sam2,389.19611644051224,374.57613864174823,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,9,left,ac_ok|ab_no_overlap,,True,140.0,0.0,default_static_c_map,1781007288.8670452
8938.5,1.0,sam2,440.06658462456414,307.39978743637073,391.37754052523746,344.82741997530894,61.41213799222402,False,0.0,ab_no_overlap,467.0,418.0,113.8324026053467,False,113.8324026053467,ac_ok,3,LEFT,20,9931.0,1.0,52.45024906865618,463.0,350.0,438.0,291.0,sam2,386.460577988118,378.9665525459,12125.0,1.0,4,full_calibration_static_c,472.5601391248079,478.8296529968454,True,10,left,ac_ok|ab_no_overlap,,True,160.0,0.0,default_static_c_map,1781007296.2268143
