index,y,x
0,338,512
1,338,513
2,338,514
3,338,515
4,338,516
5,338,517
6,338,518
7,338,519
8,338,520
9,338,521
10,338,522
11,338,523
12,338,524
13,338,525
14,338,526
15,338,527
16,339,508
17,339,509
18,339,510
19,339,511
20,339,512
21,339,513
22,339,514
23,339,515
24,339,516
25,339,517
26,339,518
27,339,519
28,339,520
29,339,521
30,339,522
31,339,523
32,339,524
33,339,525
34,339,526
35,339,527
36,339,528
37,339,529
38,339,530
39,339,531
40,340,505
41,340,506
42,340,507
43,340,508
44,340,509
45,340,510
46,340,511
47,340,512
48,340,513
49,340,514
50,340,515
51,340,516
52,340,517
53,340,518
54,340,519
55,340,520
56,340,521
57,340,522
58,340,523
59,340,524
60,340,525
61,340,526
62,340,527
63,340,528
64,340,529
65,340,530
66,340,531
67,340,532
68,340,533
69,341,502
70,341,503
71,341,504
72,341,505
73,341,506
74,341,507
75,341,508
76,341,509
77,341,510
78,341,511
79,341,512
80,341,513
81,341,514
82,341,515
83,341,516
84,341,517
85,341,518
86,341,519
87,341,520
88,341,521
89,341,522
90,341,523
91,341,524
92,341,525
93,341,526
94,341,527
95,341,528
96,341,529
97,341,530
98,341,531
99,341,532
100,341,533
101,341,534
102,341,535
103,341,536
104,341,537
105,342,499
106,342,500
107,342,501
108,342,502
109,342,503
110,342,504
111,342,505
112,342,506
113,342,507
114,342,508
115,342,509
116,342,510
117,342,511
118,342,512
119,342,513
120,342,514
121,342,515
122,342,516
123,342,517
124,342,518
125,342,519
126,342,520
127,342,521
128,342,522
129,342,523
130,342,524
131,342,525
132,342,526
133,342,527
134,342,528
135,342,529
136,342,530
137,342,531
138,342,532
139,342,533
140,342,534
141,342,535
142,342,536
143,342,537
144,342,538
145,342,539
146,342,540
147,342,541
148,343,496
149,343,497
150,343,498
151,343,499
152,343,500
153,343,501
154,343,502
155,343,503
156,343,504
157,343,505
158,343,506
159,343,507
160,343,508
161,343,509
162,343,510
163,343,511
164,343,512
165,343,513
166,343,514
167,343,515
168,343,516
169,343,517
170,343,518
171,343,519
172,343,520
173,343,521
174,343,522
175,343,523
176,343,524
177,343,525
178,343,526
179,343,527
