index,y,x
0,354,479
1,354,480
2,354,481
3,355,475
4,355,476
5,355,477
6,355,478
7,355,479
8,355,480
9,355,481
10,355,482
11,356,471
12,356,472
13,356,473
14,356,474
15,356,475
16,356,476
17,356,477
18,356,478
19,356,479
20,356,480
21,356,481
22,356,482
23,356,483
24,357,466
25,357,467
26,357,468
27,357,469
28,357,470
29,357,471
30,357,472
31,357,473
32,357,474
33,357,475
34,357,476
35,357,477
36,357,478
37,357,479
38,357,480
39,357,481
40,357,482
41,357,483
42,357,484
43,358,462
44,358,463
45,358,464
46,358,465
47,358,466
48,358,467
49,358,468
50,358,469
51,358,470
52,358,471
53,358,472
54,358,473
55,358,474
56,358,475
57,358,476
58,358,477
59,358,478
60,358,479
61,358,480
62,358,481
63,358,482
64,358,483
65,358,484
66,358,485
67,359,457
68,359,458
69,359,459
70,359,460
71,359,461
72,359,462
73,359,463
74,359,464
75,359,465
76,359,466
77,359,467
78,359,468
79,359,469
80,359,470
81,359,471
82,359,472
83,359,473
84,359,474
85,359,475
86,359,476
87,359,477
88,359,478
89,359,479
90,359,480
91,359,481
92,359,482
93,359,483
94,359,484
95,359,485
96,359,486
97,359,487
98,360,453
99,360,454
100,360,455
101,360,456
102,360,457
103,360,458
104,360,459
105,360,460
106,360,461
107,360,462
108,360,463
109,360,464
110,360,465
111,360,466
112,360,467
113,360,468
114,360,469
115,360,470
116,360,471
117,360,472
118,360,473
119,360,474
120,360,475
121,360,476
122,360,477
123,360,478
124,360,479
125,360,480
126,360,481
127,360,482
128,360,483
129,360,484
130,360,485
131,360,486
132,360,487
133,360,488
134,361,449
135,361,450
136,361,451
137,361,452
138,361,453
139,361,454
140,361,455
141,361,456
142,361,457
143,361,458
144,361,459
145,361,460
146,361,461
147,361,462
148,361,463
149,361,464
150,361,465
151,361,466
152,361,467
153,361,468
154,361,469
155,361,470
156,361,471
157,361,472
158,361,473
159,361,474
160,361,475
161,361,476
162,361,477
163,361,478
164,361,479
165,361,480
166,361,481
167,361,482
168,361,483
169,361,484
170,361,485
171,361,486
172,361,487
173,361,488
174,361,489
175,362,444
176,362,445
177,362,446
178,362,447
179,362,448
180,362,449
181,362,450
182,362,451
183,362,452
184,362,453
185,362,454
186,362,455
187,362,456
188,362,457
189,362,458
190,362,459
191,362,460
192,362,461
193,362,462
194,362,463
195,362,464
196,362,465
197,362,466
198,362,467
199,362,468
200,362,469
201,362,470
202,362,471
203,362,472
204,362,473
205,362,474
206,362,475
207,362,476
208,362,477
209,362,478
210,362,479
211,362,480
212,362,481
213,362,482
214,362,483
215,362,484
216,362,485
217,362,486
218,362,487
219,362,488
220,362,489
221,362,490
222,363,440
223,363,441
224,363,442
225,363,443
226,363,444
227,363,445
228,363,446
229,363,447
230,363,448
231,363,449
232,363,450
233,363,451
234,363,452
235,363,453
236,363,454
237,363,455
238,363,456
239,363,457
240,363,458
241,363,459
242,363,460
243,363,461
244,363,462
245,363,463
246,363,464
247,363,465
248,363,466
249,363,467
250,363,468
251,363,469
252,363,470
253,363,471
254,363,472
255,363,473
256,363,474
257,363,475
258,363,476
259,363,477
260,363,478
261,363,479
262,363,480
263,363,481
264,363,482
265,363,483
266,363,484
267,363,485
268,363,486
269,363,487
270,363,488
271,363,489
272,363,490
273,363,491
274,364,435
275,364,436
276,364,437
277,364,438
278,364,439
279,364,440
280,364,441
281,364,442
282,364,443
283,364,444
284,364,445
285,364,446
286,364,447
287,364,448
288,364,449
289,364,450
290,364,451
291,364,452
292,364,453
293,364,454
294,364,455
295,364,456
296,364,457
297,364,458
298,364,459
299,364,460
300,364,461
301,364,462
302,364,463
303,364,464
304,364,465
305,364,466
306,364,467
307,364,468
308,364,469
309,364,470
310,364,471
311,364,472
312,364,473
313,364,474
314,364,475
315,364,476
316,364,477
317,364,478
318,364,479
319,364,480
320,364,481
321,364,482
322,364,483
323,364,484
324,364,485
325,364,486
326,364,487
327,364,488
328,364,489
329,364,490
330,364,491
331,364,492
332,365,431
333,365,432
334,365,433
335,365,434
336,365,435
337,365,436
338,365,437
339,365,438
340,365,439
341,365,440
342,365,441
343,365,442
344,365,443
345,365,444
346,365,445
347,365,446
348,365,447
349,365,448
350,365,449
351,365,450
352,365,451
353,365,452
354,365,453
355,365,454
356,365,455
357,365,456
358,365,457
359,365,458
360,365,459
361,365,460
362,365,461
363,365,462
364,365,463
365,365,464
366,365,465
367,365,466
368,365,467
369,365,468
370,365,469
371,365,470
372,365,471
373,365,472
374,365,473
375,365,474
376,365,475
377,365,476
378,365,477
379,365,478
380,365,479
381,365,480
382,365,481
383,365,482
384,365,483
385,365,484
386,365,485
387,365,486
388,365,487
389,365,488
390,365,489
391,365,490
392,365,491
393,365,492
394,365,493
395,366,427
