index,wavelength,raw_y,threshold_filtered_y,median_filtered_y,angle_deg
0,498.215,1095.0,1095.0,1097.0,0.5394545396688412
1,498.25,1099.0,1099.0,1096.0,0.5394545396688412
2,498.285,1097.0,1097.0,1095.0,0.5394545396688412
3,498.32,1095.0,1095.0,1097.0,0.5394545396688412
4,498.355,1093.0,1093.0,1097.0,0.5394545396688412
5,498.39,1106.0,1106.0,1095.0,0.5394545396688412
6,498.425,1097.0,1097.0,1095.0,0.5394545396688412
7,498.46,1095.0,1095.0,1097.0,0.5394545396688412
8,498.495,1095.0,1095.0,1097.0,0.5394545396688412
9,498.53,1102.0,1102.0,1097.0,0.5394545396688412
10,498.565,1097.0,1097.0,1102.0,0.5394545396688412
11,498.6,1106.0,1106.0,1102.0,0.5394545396688412
12,498.635,1112.0,1112.0,1106.0,0.5394545396688412
13,498.67,1094.0,1094.0,1106.0,0.5394545396688412
14,498.705,1108.0,1108.0,1095.0,0.5394545396688412
15,498.74,1091.0,1091.0,1095.0,0.5394545396688412
16,498.775,1095.0,1095.0,1095.0,0.5394545396688412
17,498.81,1101.0,1101.0,1093.0,0.5394545396688412
18,498.845,1093.0,1093.0,1095.0,0.5394545396688412
19,498.88,1073.0,1073.0,1095.0,0.5394545396688412
20,498.915,1099.0,1099.0,1095.0,0.5394545396688412
21,498.95,1095.0,1095.0,1099.0,0.5394545396688412
22,498.985,1101.0,1101.0,1099.0,0.5394545396688412
23,499.02,1100.0,1100.0,1100.0,0.5394545396688412
24,499.055,1092.0,1092.0,1100.0,0.5394545396688412
25,499.09,1106.0,1106.0,1092.0,0.5394545396688412
26,499.125,1089.0,1089.0,1092.0,0.5394545396688412
27,499.16,1092.0,1092.0,1099.0,0.5394545396688412
28,499.195,1143.0,1143.0,1099.0,0.5394545396688412
29,499.23,1099.0,1099.0,1105.0,0.5394545396688412
30,499.265,1105.0,1105.0,1107.0,0.5394545396688412
31,499.3,1107.0,1107.0,1105.0,0.5394545396688412
32,499.335,1111.0,1111.0,1106.0,0.5394545396688412
33,499.37,1099.0,1099.0,1106.0,0.5394545396688412
34,499.405,1106.0,1106.0,1099.0,0.5394545396688412
35,499.44,1099.0,1099.0,1099.0,0.5394545396688412
36,499.475,1098.0,1098.0,1098.0,0.5394545396688412
37,499.51,1095.0,1095.0,1097.0,0.5394545396688412
38,499.545,1097.0,1097.0,1097.0,0.5394545396688412
39,499.58,1092.0,1092.0,1095.0,0.5394545396688412
40,499.615,1097.0,1097.0,1092.0,0.5394545396688412
41,499.65,1091.0,1091.0,1091.0,0.5394545396688412
42,499.685,1090.0,1090.0,1090.0,0.5394545396688412
43,499.72,1089.0,1089.0,1090.0,0.5394545396688412
44,499.755,1090.0,1090.0,1090.0,0.5394545396688412
45,499.79,1103.0,1103.0,1090.0,0.5394545396688412
46,499.825,1090.0,1090.0,1101.0,0.5394545396688412
47,499.86,1104.0,1104.0,1103.0,0.5394545396688412
48,499.894,1101.0,1101.0,1103.0,0.5394545396688412
49,499.929,1103.0,1103.0,1104.0,0.5394545396688412
50,499.964,1105.0,1105.0,1105.0,0.5394545396688412
51,499.999,1129.0,1129.0,1105.0,0.5394545396688412
52,500.034,1105.0,1105.0,1105.0,0.5394545396688412
53,500.069,1107.0,1107.0,1105.0,0.5394545396688412
54,500.104,1095.0,1095.0,1101.0,0.5394545396688412
55,500.139,1090.0,1090.0,1100.0,0.5394545396688412
56,500.174,1101.0,1101.0,1100.0,0.5394545396688412
57,500.209,1100.0,1100.0,1100.0,0.5394545396688412
58,500.244,1102.0,1102.0,1100.0,0.5394545396688412
59,500.279,1099.0,1099.0,1099.0,0.5394545396688412
60,500.314,1096.0,1096.0,1099.0,0.5394545396688412
61,500.349,1098.0,1098.0,1098.0,0.5394545396688412
62,500.384,1102.0,1102.0,1097.0,0.5394545396688412
63,500.419,1097.0,1097.0,1098.0,0.5394545396688412
64,500.454,1095.0,1095.0,1102.0,0.5394545396688412
65,500.489,1110.0,1110.0,1100.0,0.5394545396688412
66,500.524,1107.0,1107.0,1100.0,0.5394545396688412
67,500.559,1100.0,1100.0,1100.0,0.5394545396688412
68,500.594,1096.0,1096.0,1097.0,0.5394545396688412
69,500.629,1085.0,1085.0,1096.0,0.5394545396688412
70,500.664,1097.0,1097.0,1096.0,0.5394545396688412
71,500.699,1094.0,1094.0,1097.0,0.5394545396688412
72,500.734,1101.0,1101.0,1097.0,0.5394545396688412
73,500.768,1097.0,1097.0,1100.0,0.5394545396688412
74,500.803,1100.0,1100.0,1100.0,0.5394545396688412
75,500.838,1109.0,1109.0,1099.0,0.5394545396688412
76,500.873,1099.0,1099.0,1099.0,0.5394545396688412
77,500.908,1096.0,1096.0,1099.0,0.5394545396688412
78,500.943,1094.0,1094.0,1098.0,0.5394545396688412
79,500.978,1105.0,1105.0,1098.0,0.5394545396688412
80,501.013,1098.0,1098.0,1098.0,0.5394545396688412
81,501.048,1098.0,1098.0,1098.0,0.5394545396688412
82,501.083,1094.0,1094.0,1094.0,0.5394545396688412
83,501.118,1092.0,1092.0,1094.0,0.5394545396688412
84,501.153,1094.0,1094.0,1094.0,0.5394545396688412
85,501.188,1106.0,1106.0,1096.0,0.5394545396688412
86,501.223,1096.0,1096.0,1105.0,0.5394545396688412
87,501.258,1105.0,1105.0,1105.0,0.5394545396688412
88,501.293,1111.0,1111.0,1100.0,0.5394545396688412
89,501.328,1100.0,1100.0,1104.0,0.5394545396688412
90,501.362,1098.0,1098.0,1100.0,0.5394545396688412
91,501.397,1104.0,1104.0,1098.0,0.5394545396688412
92,501.432,1087.0,1087.0,1093.0,0.5394545396688412
93,501.467,1089.0,1089.0,1093.0,0.5394545396688412
94,501.502,1093.0,1093.0,1093.0,0.5394545396688412
95,501.537,1098.0,1098.0,1093.0,0.5394545396688412
96,501.572,1100.0,1100.0,1093.0,0.5394545396688412
97,501.607,1091.0,1091.0,1098.0,0.5394545396688412
98,501.642,1093.0,1093.0,1100.0,0.5394545396688412
99,501.677,1111.0,1111.0,1100.0,0.5394545396688412
100,501.712,1100.0,1100.0,1103.0,0.5394545396688412
101,501.747,1103.0,1103.0,1103.0,0.5394545396688412
102,501.782,1105.0,1105.0,1100.0,0.5394545396688412
103,501.817,1097.0,1097.0,1097.0,0.5394545396688412
104,501.852,1088.0,1088.0,1097.0,0.5394545396688412
