cycle_index,time,angle_before,angle_after,angle_before_after_delta,previous_cycle_angle,angle_delta_vs_previous_cycle,signal_on_time_used_ms,signal_on_time_next_ms,signal_time_adjust_action,angle_before_center,angle_after_center,raw_original_peak,raw_peak,fit_peak,run_session_name,spectrum_filename,labview_csv_path,spectrum_csv_path
1,2026-06-09 00:20:34,106.53125755334192,,,,,,,,,,2473.0,1157.0,1157.0,20260609_001944,cycle_0001_001948_583_spectrum.csv,labview_csv_output\measure_001_20260609_002000.csv,measurement_output\save\06.09\20260609_001944\cycle_0001_001948_583_spectrum.csv
1,2026-06-09 00:32:31,101.7207807698883,,,,,,,,,,1148.0,1114.0,1114.0,20260609_002911,cycle_0001_002915_123_spectrum.csv,labview_csv_output\measure_001_20260609_002926.csv,measurement_output\save\06.09\20260609_002911\cycle_0001_002915_123_spectrum.csv
2,2026-06-09 00:33:16,96.87166119949966,,,,4.849119570388638,,,,,,1141.0,1115.0,1115.0,20260609_002911,cycle_0002_003232_806_spectrum.csv,labview_csv_output\measure_002_20260609_003244.csv,measurement_output\save\06.09\20260609_002911\cycle_0002_003232_806_spectrum.csv
3,2026-06-09 00:34:09,96.47200677925144,,,,0.3996544202482113,,,,,,4183.0,1125.0,1125.0,20260609_002911,cycle_0003_003317_811_spectrum.csv,labview_csv_output\measure_003_20260609_003329.csv,measurement_output\save\06.09\20260609_002911\cycle_0003_003317_811_spectrum.csv
4,2026-06-09 00:35:16,90.39932127700288,,,,6.072685502248561,,,,,,4963.0,1115.0,1115.0,20260609_002911,cycle_0004_003410_935_spectrum.csv,labview_csv_output\measure_004_20260609_003422.csv,measurement_output\save\06.09\20260609_002911\cycle_0004_003410_935_spectrum.csv
5,2026-06-09 00:36:02,84.12500648084546,,,,6.274314796157427,,,,,,1148.0,1114.0,1114.0,20260609_002911,cycle_0005_003517_583_spectrum.csv,labview_csv_output\measure_005_20260609_003529.csv,measurement_output\save\06.09\20260609_002911\cycle_0005_003517_583_spectrum.csv
6,2026-06-09 00:36:34,79.26314560073158,,,,4.8618608801138805,,,,,,3080.0,1151.0,1151.0,20260609_002911,cycle_0006_003604_044_spectrum.csv,labview_csv_output\measure_006_20260609_003615.csv,measurement_output\save\06.09\20260609_002911\cycle_0006_003604_044_spectrum.csv
7,2026-06-09 00:37:16,82.89107926441716,,,,3.6279336636855817,,,,,,1149.0,1115.0,1115.0,20260609_002911,cycle_0007_003635_611_spectrum.csv,labview_csv_output\measure_007_20260609_003647.csv,measurement_output\save\06.09\20260609_002911\cycle_0007_003635_611_spectrum.csv
8,2026-06-09 00:37:40,135.09835201308272,,,,52.20727274866556,,,,,,3176.0,1117.0,1117.0,20260609_002911,cycle_0008_003716_915_spectrum.csv,labview_csv_output\measure_008_20260609_003728.csv,measurement_output\save\06.09\20260609_002911\cycle_0008_003716_915_spectrum.csv
9,2026-06-09 00:38:35,75.42355460558385,,,,59.67479740749887,,,,,,1146.0,1112.0,1112.0,20260609_002911,cycle_0009_003741_062_spectrum.csv,labview_csv_output\measure_009_20260609_003752.csv,measurement_output\save\06.09\20260609_002911\cycle_0009_003741_062_spectrum.csv
10,2026-06-09 00:39:00,147.13100773762653,,,,71.70745313204269,,,,,,2234.0,1116.0,1116.0,20260609_002911,cycle_0010_003836_517_spectrum.csv,labview_csv_output\measure_010_20260609_003848.csv,measurement_output\save\06.09\20260609_002911\cycle_0010_003836_517_spectrum.csv
1,2026-06-09 00:47:29,63.351733169909835,,,,,,,,,,1224.0,1122.0,1122.0,20260609_004316,cycle_0001_004320_308_spectrum.csv,labview_csv_output\measure_001_20260609_004331.csv,measurement_output\save\06.09\20260609_004316\cycle_0001_004320_308_spectrum.csv
1,2026-06-09 19:22:51,77.866459169177,,,,,,,,,,1139.0,1115.0,1115.0,20260609_192003,cycle_0001_192006_869_spectrum.csv,labview_csv_output\measure_001_20260609_192018.csv,measurement_output\save\06.09\20260609_192003\cycle_0001_192006_869_spectrum.csv,,,False,,
1,2026-06-09 19:44:52,72.18094219687399,,,,,,,,,,1139.0,1112.0,1112.0,20260609_193911,cycle_0001_193914_146_spectrum.csv,labview_csv_output\measure_001_20260609_193925.csv,measurement_output\save\06.09\20260609_193911\cycle_0001_193914_146_spectrum.csv,,,False,,
1,2026-06-09 20:14:18,59.283180545691046,,,,,,,,,,1132.0,1118.0,1118.0,20260609_201315,cycle_0001_201322_712_spectrum.csv,labview_csv_output\measure_001_20260609_201334.csv,measurement_output\save\06.09\20260609_201315\cycle_0001_201322_712_spectrum.csv
2,2026-06-09 20:15:13,53.6228306056119,,,,5.6603499400791435,,,,,,3671.0,1132.0,1132.0,20260609_201315,cycle_0002_201418_839_spectrum.csv,labview_csv_output\measure_002_20260609_201430.csv,measurement_output\save\06.09\20260609_201315\cycle_0002_201418_839_spectrum.csv
3,2026-06-09 20:16:54,47.79047146105477,,,,5.832359144557131,,,,,,3664.0,1153.0,1153.0,20260609_201315,cycle_0003_201513_826_spectrum.csv,labview_csv_output\measure_003_20260609_201525.csv,measurement_output\save\06.09\20260609_201315\cycle_0003_201513_826_spectrum.csv
1,2026-06-09 20:26:54,46.75890406157742,,,,,,,,,,1140.0,1116.0,1116.0,20260609_202501,cycle_0001_202504_880_spectrum.csv,labview_csv_output\measure_001_20260609_202516.csv,measurement_output\save\06.09\20260609_202501\cycle_0001_202504_880_spectrum.csv
2,2026-06-09 20:30:32,39.72991000440409,,,,7.028994057173328,,,,,,3812.0,1707.0,1707.0,20260609_202501,cycle_0002_202654_954_spectrum.csv,labview_csv_output\measure_002_20260609_202706.csv,measurement_output\save\06.09\20260609_202501\cycle_0002_202654_954_spectrum.csv
3,2026-06-09 20:31:19,36.37085460228432,,,,3.359055402119772,,,,,,1154.0,1115.0,1115.0,20260609_202501,cycle_0003_203033_386_spectrum.csv,labview_csv_output\measure_003_20260609_203044.csv,measurement_output\save\06.09\20260609_202501\cycle_0003_203033_386_spectrum.csv
4,2026-06-09 20:32:29,32.11440117195718,,,,4.2564534303271415,,,,,,1145.0,1112.0,1112.0,20260609_202501,cycle_0004_203120_731_spectrum.csv,labview_csv_output\measure_004_20260609_203132.csv,measurement_output\save\06.09\20260609_202501\cycle_0004_203120_731_spectrum.csv
5,2026-06-09 20:34:02,0.5161754554183957,,,,31.59822571653878,,,,,,1140.0,1116.0,1116.0,20260609_202501,cycle_0005_203231_378_spectrum.csv,labview_csv_output\measure_005_20260609_203242.csv,measurement_output\save\06.09\20260609_202501\cycle_0005_203231_378_spectrum.csv
6,2026-06-09 20:34:57,179.9518307840341,,,,0.5643446713843048,,,,,,1147.0,1118.0,1118.0,20260609_202501,cycle_0006_203403_230_spectrum.csv,labview_csv_output\measure_006_20260609_203414.csv,measurement_output\save\06.09\20260609_202501\cycle_0006_203403_230_spectrum.csv
7,2026-06-09 20:35:36,179.95799737381148,,,,0.006166589777393483,,,,,,1131.0,1115.0,1115.0,20260609_202501,cycle_0007_203459_375_spectrum.csv,labview_csv_output\measure_007_20260609_203510.csv,measurement_output\save\06.09\20260609_202501\cycle_0007_203459_375_spectrum.csv
8,2026-06-09 20:36:36,0.443200962947408,,,,0.48520358913592077,,,,,,1154.0,1117.0,1117.0,20260609_202501,cycle_0008_203538_305_spectrum.csv,labview_csv_output\measure_008_20260609_203549.csv,measurement_output\save\06.09\20260609_202501\cycle_0008_203538_305_spectrum.csv
9,2026-06-09 20:37:24,0.4643678962811678,,,,0.021166933333759796,,,,,,1157.0,1115.0,1115.0,20260609_202501,cycle_0009_203637_229_spectrum.csv,labview_csv_output\measure_009_20260609_203648.csv,measurement_output\save\06.09\20260609_202501\cycle_0009_203637_229_spectrum.csv
