cycle_index,frame_index,timestamp,bmask_source,b_hsv_center_count,b_positive_hsv_seed_count,feature_area_px,final_area_px,center_x,center_y,center_jump_px,score,fallback_used,hold_last_used,fail_reason,raw_image_path,feature_mask_path,sam2_fallback_mask_path,final_mask_path,overlay_path
1,1,2026-07-17 22:14:55.151,feature,8,8,10191,10191,624.1535668727308,422.4568737120989,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000001_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000001_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000001_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000001_b_final_overlay.png
1,2,2026-07-17 22:15:00.179,feature,8,8,10191,10191,624.1535668727308,422.4568737120989,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000002_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000002_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000002_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000002_b_final_overlay.png
1,3,2026-07-17 22:15:05.276,feature,8,8,10191,10191,624.1535668727308,422.4568737120989,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000003_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000003_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000003_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000003_b_final_overlay.png
1,4,2026-07-17 22:15:10.313,feature,8,8,10191,10191,624.1535668727308,422.4568737120989,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000004_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000004_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000004_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000004_b_final_overlay.png
1,5,2026-07-17 22:15:15.354,feature,8,8,10191,10191,624.1535668727308,422.4568737120989,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000005_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000005_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000005_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000005_b_final_overlay.png
1,6,2026-07-17 22:15:20.447,feature,8,8,10191,10191,624.1535668727308,422.4568737120989,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000006_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000006_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000006_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000006_b_final_overlay.png
1,7,2026-07-17 22:15:25.591,feature,8,8,10183,10183,624.14651870765,422.4326819208485,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000007_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000007_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000007_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000007_b_final_overlay.png
1,8,2026-07-17 22:15:28.581,feature,8,8,17295,17295,541.7978028331888,366.0378722174039,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000008_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000008_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000008_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0001_frame_000008_b_final_overlay.png
2,9,2026-07-17 22:15:32.167,feature,8,8,17440,17440,543.1178899082569,365.4669151376147,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000009_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000009_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000009_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000009_b_final_overlay.png
2,10,2026-07-17 22:15:37.217,feature,8,8,17440,17440,543.1178899082569,365.4669151376147,0.0,,False,False,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000010_raw_frame.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000010_b_feature_raw_mask.png,,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000010_b_final_mask.png,measurement_output\save\07.17\20260717_221443\abc_feature_templates\bmask_runtime_debug\cycle_0002_frame_000010_b_final_overlay.png
