cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,overlap_area_px,b_mask_area_px,c_mask_area_px,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,c_mask_path,overlap_mask_path
1,2026-06-08 15:13:54,True,False,moving,601.690281030445,326.1132903981265,609.412,327.059,7.721718969555013,0.9457096018735456,1.0,3416,9330,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0001_20260608_151354_298_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0001_20260608_151354_298_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0001_20260608_151354_298_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0001_20260608_151354_298_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0001_20260608_151354_298_action_-2_overlap_mask.png
2,2026-06-08 15:13:54,True,False,moving,601.7483132883543,326.13317688471693,609.412,327.059,7.66368671164571,0.9258231152830945,1.0,3409,9362,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0002_20260608_151354_517_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0002_20260608_151354_517_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0002_20260608_151354_517_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0002_20260608_151354_517_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0002_20260608_151354_517_action_-2_overlap_mask.png
3,2026-06-08 15:13:54,True,False,moving,601.7579469233012,326.140565762613,609.412,327.059,7.654053076698801,0.9184342373870322,1.0,3429,9336,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0003_20260608_151354_736_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0003_20260608_151354_736_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0003_20260608_151354_736_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0003_20260608_151354_736_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0003_20260608_151354_736_action_-2_overlap_mask.png
4,2026-06-08 15:13:55,True,False,moving,601.8476218438051,326.0916030534351,609.412,327.059,7.564378156194948,0.9673969465649179,1.0,3406,9298,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0004_20260608_151354_967_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0004_20260608_151354_967_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0004_20260608_151354_967_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0004_20260608_151354_967_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0004_20260608_151354_967_action_-2_overlap_mask.png
5,2026-06-08 15:13:55,True,False,moving,601.8535724786827,326.12643340194063,609.412,327.059,7.558427521317299,0.9325665980593953,1.0,3401,9302,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0005_20260608_151355_194_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0005_20260608_151355_194_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0005_20260608_151355_194_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0005_20260608_151355_194_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0005_20260608_151355_194_action_-2_overlap_mask.png
6,2026-06-08 15:13:55,True,False,moving,601.7663551401869,326.17114485981307,609.412,327.059,7.64564485981316,0.8878551401869572,1.0,3424,9356,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0006_20260608_151355_419_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0006_20260608_151355_419_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0006_20260608_151355_419_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0006_20260608_151355_419_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0006_20260608_151355_419_action_-2_overlap_mask.png
7,2026-06-08 15:13:55,True,False,moving,601.7951948432465,326.1344857896279,609.412,327.059,7.616805156753571,0.9245142103721378,1.0,3413,9404,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0007_20260608_151355_656_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0007_20260608_151355_656_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0007_20260608_151355_656_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0007_20260608_151355_656_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0007_20260608_151355_656_action_-2_overlap_mask.png
8,2026-06-08 15:13:55,True,False,moving,601.7076518691589,326.1869158878505,609.412,327.059,7.70434813084114,0.8720841121495368,1.0,3424,9373,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0008_20260608_151355_887_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0008_20260608_151355_887_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0008_20260608_151355_887_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0008_20260608_151355_887_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0008_20260608_151355_887_action_-2_overlap_mask.png
9,2026-06-08 15:13:56,True,False,moving,601.7298481308411,326.16296728971963,609.412,327.059,7.682151869158929,0.8960327102803944,1.0,3424,9406,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0009_20260608_151356_120_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0009_20260608_151356_120_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0009_20260608_151356_120_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0009_20260608_151356_120_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0009_20260608_151356_120_action_-2_overlap_mask.png
10,2026-06-08 15:13:56,True,False,moving,601.7408163265306,326.1588921282799,609.412,327.059,7.671183673469386,0.9001078717201381,1.0,3430,9375,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0010_20260608_151356_356_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0010_20260608_151356_356_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0010_20260608_151356_356_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0010_20260608_151356_356_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0010_20260608_151356_356_action_-2_overlap_mask.png
11,2026-06-08 15:13:56,True,False,moving,601.7799589803692,326.135950776443,609.412,327.059,7.632041019630833,0.9230492235570296,1.0,3413,9251,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0011_20260608_151356_589_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0011_20260608_151356_589_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0011_20260608_151356_589_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0011_20260608_151356_589_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0011_20260608_151356_589_action_-2_overlap_mask.png
12,2026-06-08 15:13:56,True,False,moving,601.6473699676756,326.20599471054953,609.412,327.059,7.764630032324476,0.8530052894504934,1.0,3403,9326,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0012_20260608_151356_823_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0012_20260608_151356_823_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0012_20260608_151356_823_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0012_20260608_151356_823_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0012_20260608_151356_823_action_-2_overlap_mask.png
13,2026-06-08 15:13:57,True,False,moving,601.8004694835681,326.1100352112676,609.412,327.059,7.6115305164319125,0.9489647887324395,1.0,3408,9385,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0013_20260608_151357_055_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0013_20260608_151357_055_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0013_20260608_151357_055_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0013_20260608_151357_055_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0013_20260608_151357_055_action_-2_overlap_mask.png
14,2026-06-08 15:13:57,True,False,moving,601.7032710280374,326.1606308411215,609.412,327.059,7.708728971962614,0.8983691588785518,1.0,3424,9424,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0014_20260608_151357_286_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0014_20260608_151357_286_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0014_20260608_151357_286_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0014_20260608_151357_286_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0014_20260608_151357_286_action_-2_overlap_mask.png
15,2026-06-08 15:13:57,True,False,moving,601.8211453744493,326.12980910425847,609.412,327.059,7.590854625550719,0.9291908957415558,1.0,3405,9313,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0015_20260608_151357_520_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0015_20260608_151357_520_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0015_20260608_151357_520_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0015_20260608_151357_520_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0015_20260608_151357_520_action_-2_overlap_mask.png
16,2026-06-08 15:13:57,True,False,moving,601.7427483152652,326.1371227658951,609.412,327.059,7.6692516847348315,0.9218772341048975,1.0,3413,9279,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0016_20260608_151357_754_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0016_20260608_151357_754_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0016_20260608_151357_754_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0016_20260608_151357_754_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0016_20260608_151357_754_action_-2_overlap_mask.png
17,2026-06-08 15:13:58,True,False,moving,601.7637426900585,326.1845029239766,609.412,327.059,7.648257309941528,0.874497076023431,1.0,3420,9317,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0017_20260608_151357_989_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0017_20260608_151357_989_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0017_20260608_151357_989_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0017_20260608_151357_989_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0017_20260608_151357_989_action_-2_overlap_mask.png
18,2026-06-08 15:13:58,True,False,moving,601.6946475577654,326.10295408014036,609.412,327.059,7.717352442234642,0.9560459198596618,1.0,3419,9411,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0018_20260608_151358_219_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0018_20260608_151358_219_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0018_20260608_151358_219_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0018_20260608_151358_219_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0018_20260608_151358_219_action_-2_overlap_mask.png
19,2026-06-08 15:13:58,True,False,moving,601.7641040631395,326.1932183572055,609.412,327.059,7.64789593686055,0.8657816427945022,1.0,3421,9339,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0019_20260608_151358_453_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0019_20260608_151358_453_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0019_20260608_151358_453_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0019_20260608_151358_453_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0019_20260608_151358_453_action_-2_overlap_mask.png
20,2026-06-08 15:13:58,True,False,moving,601.7061569886198,326.2103880945433,609.412,327.059,7.705843011380239,0.8486119054567212,1.0,3427,9354,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0020_20260608_151358_686_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0020_20260608_151358_686_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0020_20260608_151358_686_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0020_20260608_151358_686_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0020_20260608_151358_686_action_-2_overlap_mask.png
21,2026-06-08 15:13:58,True,False,moving,601.636655011655,326.1821095571096,609.412,327.059,7.7753449883450685,0.876890442890442,1.0,3432,9379,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0021_20260608_151358_919_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0021_20260608_151358_919_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0021_20260608_151358_919_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0021_20260608_151358_919_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0021_20260608_151358_919_action_-2_overlap_mask.png
22,2026-06-08 15:13:59,True,False,moving,601.8147386964181,326.08396946564886,609.412,327.059,7.597261303581945,0.9750305343511627,1.0,3406,9340,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0022_20260608_151359_154_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0022_20260608_151359_154_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0022_20260608_151359_154_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0022_20260608_151359_154_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0022_20260608_151359_154_action_-2_overlap_mask.png
23,2026-06-08 15:13:59,True,False,moving,601.7535046728972,326.2111565420561,609.412,327.059,7.658495327102855,0.8478434579439522,1.0,3424,9335,9432,-2,右下,False,True,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_151333_222\overlays\step9_cycle_0023_20260608_151359_384_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\frames\step9_cycle_0023_20260608_151359_384_action_-2_frame.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0023_20260608_151359_384_action_-2_b_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0023_20260608_151359_384_action_-2_c_mask.png,measurement_output\step9_bc_center_align\run_20260608_151333_222\masks\step9_cycle_0023_20260608_151359_384_action_-2_overlap_mask.png
