cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,color_area_px,a_mask_area_px,b_mask_area_px,step9_c_source,step9_c_area_px,step9_c_center_x,step9_c_center_y,step9_c_dirty_before_update,step9_c_update_ok,step9_c_update_reason,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,color_mask_path,a_mask_path,b_mask_path,c_mask_path,c_raw_mask_path
1,2026-06-27 17:02:44,True,False,moving,497.9894736842105,398.17543859649123,502.353,403.529,4.3635263157895,5.353561403508763,5.0,285,7497,19946,dynamic_sam2,6992,484.98226544622423,391.52602974828375,True,True,ok,-20,下,True,False,5.0,5.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0001_20260627_170241_738_action_-20_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0001_20260627_170241_738_action_-20_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0001_20260627_170241_738_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0001_20260627_170241_738_action_-20_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0001_20260627_170241_738_action_-20_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0001_20260627_170241_738_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0001_20260627_170241_738_action_-20_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0001_20260627_170241_738_action_-20_current_c_raw_mask.png
2,2026-06-27 17:02:47,True,False,moving,503.0880281690141,395.9154929577465,502.353,403.529,-0.7350281690140719,7.613507042253502,5.0,284,7525,20002,dynamic_sam2,9082,489.5193789914116,398.917969610218,True,True,ok,-20,下,True,False,5.0,5.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0002_20260627_170245_160_action_-20_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0002_20260627_170245_160_action_-20_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0002_20260627_170245_160_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0002_20260627_170245_160_action_-20_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0002_20260627_170245_160_action_-20_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0002_20260627_170245_160_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0002_20260627_170245_160_action_-20_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0002_20260627_170245_160_action_-20_current_c_raw_mask.png
3,2026-06-27 17:02:50,True,False,moving,503.711743772242,396.01779359430606,502.353,403.529,-1.3587437722420077,7.51120640569394,5.0,281,7586,20176,dynamic_sam2,11028,482.43208197315926,410.11162495466084,True,True,ok,-20,下,True,False,5.0,5.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0003_20260627_170248_592_action_-20_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0003_20260627_170248_592_action_-20_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0003_20260627_170248_592_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0003_20260627_170248_592_action_-20_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0003_20260627_170248_592_action_-20_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0003_20260627_170248_592_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0003_20260627_170248_592_action_-20_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0003_20260627_170248_592_action_-20_current_c_raw_mask.png
4,2026-06-27 17:02:54,True,False,moving,506.7013888888889,395.93402777777777,502.353,403.529,-4.3483888888889055,7.594972222222225,5.0,288,7533,20103,dynamic_sam2,13207,482.62133716968276,425.55697736049063,True,True,ok,-20,下,True,False,5.0,5.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0004_20260627_170252_000_action_-20_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0004_20260627_170252_000_action_-20_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0004_20260627_170252_000_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0004_20260627_170252_000_action_-20_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0004_20260627_170252_000_action_-20_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0004_20260627_170252_000_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0004_20260627_170252_000_action_-20_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0004_20260627_170252_000_action_-20_current_c_raw_mask.png
5,2026-06-27 17:02:56,True,False,moving,512.8603773584906,393.61509433962266,502.353,403.529,-10.5073773584906,9.913905660377338,5.0,265,7610,20230,dynamic_sam2,16462,478.35348074353055,439.64457538573686,True,True,ok,-1,左下,True,False,5.0,0.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0005_20260627_170255_384_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0005_20260627_170255_384_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0005_20260627_170255_384_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0005_20260627_170255_384_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0005_20260627_170255_384_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0005_20260627_170255_384_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0005_20260627_170255_384_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0005_20260627_170255_384_action_-1_current_c_raw_mask.png
6,2026-06-27 17:02:58,True,False,moving,520.8709677419355,388.1899641577061,502.353,403.529,-18.51796774193548,15.339035842293924,5.0,279,7613,20267,dynamic_sam2,18252,493.879684418146,444.422255095332,True,True,ok,-1,左下,True,False,5.0,0.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0006_20260627_170257_673_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0006_20260627_170257_673_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0006_20260627_170257_673_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0006_20260627_170257_673_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0006_20260627_170257_673_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0006_20260627_170257_673_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0006_20260627_170257_673_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0006_20260627_170257_673_action_-1_current_c_raw_mask.png
7,2026-06-27 17:03:01,True,False,moving,530.1715328467153,382.62773722627736,502.353,403.529,-27.8185328467153,20.901262773722635,5.0,274,7575,20112,dynamic_sam2,18318,503.2145430723878,439.4758161371329,True,True,ok,-1,左下,True,False,5.0,0.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0007_20260627_170259_955_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0007_20260627_170259_955_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0007_20260627_170259_955_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0007_20260627_170259_955_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0007_20260627_170259_955_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0007_20260627_170259_955_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0007_20260627_170259_955_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0007_20260627_170259_955_action_-1_current_c_raw_mask.png
8,2026-06-27 17:03:03,True,False,moving,541.8652482269504,375.2836879432624,502.353,403.529,-39.51224822695036,28.24531205673759,5.0,282,7583,20190,dynamic_sam2,18286,512.1064202121842,430.86913485726785,True,True,ok,-1,左下,True,False,5.0,0.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0008_20260627_170302_221_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0008_20260627_170302_221_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0008_20260627_170302_221_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0008_20260627_170302_221_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0008_20260627_170302_221_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0008_20260627_170302_221_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0008_20260627_170302_221_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0008_20260627_170302_221_action_-1_current_c_raw_mask.png
9,2026-06-27 17:03:05,True,False,moving,555.6862068965518,366.42413793103447,502.353,403.529,-53.33320689655176,37.10486206896553,5.0,290,7557,20104,dynamic_sam2,18335,528.0047450231797,422.3171529860922,True,True,ok,-1,左下,True,False,5.0,0.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0009_20260627_170304_469_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0009_20260627_170304_469_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0009_20260627_170304_469_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0009_20260627_170304_469_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0009_20260627_170304_469_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0009_20260627_170304_469_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0009_20260627_170304_469_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0009_20260627_170304_469_action_-1_current_c_raw_mask.png
10,2026-06-27 17:03:07,True,False,moving,567.7153024911032,357.9572953736655,502.353,403.529,-65.36230249110321,45.57170462633451,5.0,281,7517,20011,dynamic_sam2,18403,540.2495788730098,415.2025213280443,True,True,ok,-1,左下,True,False,5.0,0.0,measurement_output\step9_color_center_align\run_20260627_165559_739\overlays\step9_cycle_0010_20260627_170306_763_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_165559_739\frames\step9_cycle_0010_20260627_170306_763_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0010_20260627_170306_763_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\masks\step9_cycle_0010_20260627_170306_763_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0010_20260627_170306_763_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\ab_masks\step9_cycle_0010_20260627_170306_763_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0010_20260627_170306_763_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_165559_739\c_masks\step9_cycle_0010_20260627_170306_763_action_-1_current_c_raw_mask.png
