epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7115,0.78348,1.40104,2.73846,0.937,0,0.00713,1,0.0095,0.00849,0.00713,1,0.0095,0.00869,0.42956,0.43638,3.68909,0.85436,0,0.000541775,0.000541775,0.000541775
2,34.4784,0.6619,1.19755,1.64328,0.83631,0,0.99798,1,0.995,0.89552,0.99798,1,0.995,0.87,0.54213,0.74684,2.60542,0.87548,0,0.00105217,0.00105217,0.00105217
3,45.5166,0.64456,0.95563,1.45644,0.86072,0,0.99964,1,0.995,0.90257,0.99964,1,0.995,0.95999,0.40973,0.37728,2.37297,0.85687,0,0.00151673,0.00151673,0.00151673
4,56.5669,0.61922,0.62909,1.41867,0.8539,0,0.99869,1,0.995,0.88931,0.99869,1,0.995,0.8806,0.49862,0.36076,1.29805,0.85527,0,0.00146071,0.00146071,0.00146071
5,67.533,0.59278,0.80846,1.25876,0.83762,0,0.99859,1,0.995,0.89417,0.99859,1,0.995,0.87749,0.48102,0.37316,1.41078,0.85816,0,0.00139195,0.00139195,0.00139195
6,78.4843,0.53527,0.65927,1.14644,0.83341,0,0.9986,1,0.995,0.89576,0.9986,1,0.995,0.92242,0.46905,0.35692,1.00129,0.85729,0,0.00132318,0.00132318,0.00132318
7,89.3899,0.50724,0.73439,1.07663,0.83063,0,0.99857,1,0.995,0.9089,0.99857,1,0.995,0.93889,0.39869,0.36867,1.06096,0.85115,0,0.00125442,0.00125442,0.00125442
8,100.253,0.48579,0.83949,1.02182,0.83972,0,0.99834,1,0.995,0.94692,0.99834,1,0.995,0.93028,0.39312,0.47551,1.05844,0.85266,0,0.00118565,0.00118565,0.00118565
9,111.696,0.49191,0.58534,0.93847,0.84598,0,0.99847,1,0.995,0.95949,0.99847,1,0.995,0.92002,0.34367,0.36438,0.95389,0.84228,0,0.00111689,0.00111689,0.00111689
10,122.741,0.51085,0.71738,0.88176,0.83317,0,0.99851,1,0.995,0.90308,0.99851,1,0.995,0.93094,0.39961,0.38359,0.93847,0.84923,0,0.00104813,0.00104813,0.00104813
11,133.931,0.49646,0.58404,0.83666,0.83278,0,0.9986,1,0.995,0.95765,0.9986,1,0.995,0.92319,0.3308,0.33621,0.95239,0.84059,0,0.000979362,0.000979362,0.000979362
12,145.643,0.4476,0.66545,0.81801,0.81376,0,0.99855,1,0.995,0.97568,0.99855,1,0.995,0.95812,0.32662,0.44839,0.96234,0.83877,0,0.000910599,0.000910599,0.000910599
13,157.132,0.42153,0.76736,0.75155,0.81185,0,0.99863,1,0.995,0.98217,0.99863,1,0.995,0.90956,0.29105,0.40037,0.76759,0.83702,0,0.000841835,0.000841835,0.000841835
14,168.171,0.39771,0.66976,0.73243,0.80801,0,0.99862,1,0.995,0.96983,0.99862,1,0.995,0.92845,0.26305,0.43023,0.72175,0.83601,0,0.000773071,0.000773071,0.000773071
15,225.026,0.31721,0.57328,0.78947,0.77636,0,0.99857,1,0.995,0.96869,0.99857,1,0.995,0.91326,0.25617,0.35924,0.73809,0.83346,0,0.000704307,0.000704307,0.000704307
16,235.847,0.32636,0.54569,0.77913,0.78667,0,0.99864,1,0.995,0.98462,0.99864,1,0.995,0.94786,0.26256,0.34511,0.67658,0.83265,0,0.000635544,0.000635544,0.000635544
17,246.728,0.30247,0.56721,0.71205,0.76253,0,0.99864,1,0.995,0.97967,0.99864,1,0.995,0.93165,0.24503,0.36075,0.62367,0.82988,0,0.00056678,0.00056678,0.00056678
18,257.631,0.29958,0.55261,0.71176,0.77438,0,0.99864,1,0.995,0.9828,0.99864,1,0.995,0.94477,0.25501,0.33226,0.63858,0.83236,0,0.000498016,0.000498016,0.000498016
19,268.516,0.29402,0.54345,0.68487,0.77819,0,0.99867,1,0.995,0.98731,0.99867,1,0.995,0.94056,0.24167,0.33466,0.62312,0.83058,0,0.000429253,0.000429253,0.000429253
20,279.435,0.29351,0.56667,0.66221,0.76785,0,0.99869,1,0.995,0.99205,0.99869,1,0.995,0.91181,0.23515,0.33749,0.63,0.83229,0,0.000360489,0.000360489,0.000360489
21,290.256,0.26133,0.53811,0.64403,0.77843,0,0.99866,1,0.995,0.99262,0.99866,1,0.995,0.93573,0.21825,0.33215,0.58539,0.83238,0,0.000291725,0.000291725,0.000291725
22,301.196,0.26448,0.53474,0.63645,0.76746,0,0.99865,1,0.995,0.98836,0.99865,1,0.995,0.93871,0.21584,0.33696,0.57834,0.83188,0,0.000222961,0.000222961,0.000222961
23,312.043,0.25605,0.53197,0.62516,0.79556,0,0.99867,1,0.995,0.995,0.99867,1,0.995,0.94461,0.21122,0.33295,0.54815,0.83129,0,0.000154198,0.000154198,0.000154198
24,323.113,0.25447,0.50973,0.59362,0.77748,0,0.99869,1,0.995,0.98949,0.99869,1,0.995,0.94928,0.21103,0.33144,0.54185,0.83144,0,8.54337e-05,8.54337e-05,8.54337e-05
