epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2252,0.76859,2.18561,21.1749,0.87744,0,0.00189,0.76923,0.00146,0.0013,0.00189,0.76923,0.00146,0.00132,0.22865,0.24086,26489.1,0.3842,0,0.00054409,0.00054409,0.00054409
2,35.0281,0.83516,1.83749,5.93938,1.03149,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00108887,0.00108887,0.00108887
3,52.5159,0.99102,1.07534,5.25712,1.0549,0,0,0,0,0,0,0,0,0,0.73998,nan,nan,7.69936,0,0.00162265,0.00162265,0.00162265
4,69.9819,1.01784,2.08362,3.07617,1.08444,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00161749,0.00161749,0.00161749
5,87.3817,1.25302,1.67278,3.29289,1.345,0,9e-05,0.07692,1e-05,0,9e-05,0.07692,1e-05,0,nan,nan,nan,nan,0,0.00160099,0.00160099,0.00160099
6,104.791,0.95898,1.06042,2.26222,1.09702,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00158448,0.00158448,0.00158448
7,122.077,0.84635,1.17831,2.21669,1.06147,0,0.97085,0.07692,0.075,0.075,0.97085,0.07692,0.075,0.0675,0.08936,0.09781,0.13841,0.17583,0,0.00156798,0.00156798,0.00156798
8,139.802,0.79708,1.13942,2.00037,1.03356,0,0.90614,0.07692,0.075,0.0675,0.90614,0.07692,0.075,0.0675,0.51732,4.23005,2.63782,0.51419,0,0.00155148,0.00155148,0.00155148
9,157.24,0.77726,1.201,2.04163,0.94307,0,0.72628,0.92308,0.944,0.83757,0.72628,0.92308,0.944,0.84003,0.16822,0.26165,2.47977,0.31064,0,0.00153497,0.00153497,0.00153497
10,175.042,0.72881,0.62342,1.78408,0.99405,0,0.4473,0.84615,0.49885,0.45068,0.4473,0.84615,0.49885,0.46156,0.16055,0.78052,4.36256,0.30951,0,0.00151847,0.00151847,0.00151847
11,192.453,0.71287,1.25315,2.20227,0.85082,0,0.69124,0.76923,0.8827,0.81696,0.69124,0.76923,0.8827,0.84274,0.16879,0.16145,8.33694,0.3238,0,0.00150197,0.00150197,0.00150197
12,209.967,0.64344,0.93612,1.73807,0.95403,0,0.93412,0.76923,0.90476,0.82367,0.93412,0.76923,0.90476,0.86892,0.12353,0.1744,4.0084,0.29339,0,0.00148546,0.00148546,0.00148546
13,227.613,0.59365,0.86507,1.79083,0.81184,0,0.49385,0.92308,0.91924,0.82815,0.49385,0.92308,0.91924,0.82633,0.18271,0.20338,1.79583,0.33375,0,0.00146896,0.00146896,0.00146896
14,245.054,0.60248,0.8112,1.4626,0.85224,0,0.90659,0.84615,0.93333,0.88678,0.90659,0.84615,0.93333,0.84651,0.1335,0.1883,1.38371,0.30858,0,0.00145246,0.00145246,0.00145246
15,262.629,0.67288,0.81773,1.5217,0.84282,0,0.5172,0.92308,0.91707,0.83177,0.5172,0.92308,0.91707,0.86259,0.17075,0.17164,2.0962,0.31478,0,0.00143595,0.00143595,0.00143595
16,280.011,0.58982,0.50392,1.40548,0.87112,0,0.79778,0.91114,0.90085,0.82412,0.79778,0.91114,0.90085,0.80692,0.12307,0.17968,2.09659,0.30153,0,0.00141945,0.00141945,0.00141945
17,297.427,0.61076,0.40842,1.52038,0.90457,0,0.84853,0.69231,0.89869,0.82222,0.84853,0.69231,0.89869,0.8213,0.15509,0.14605,0.99501,0.31003,0,0.00140295,0.00140295,0.00140295
18,314.82,0.69261,0.42099,1.57117,0.85142,0,0.78353,0.84615,0.94283,0.84691,0.78353,0.84615,0.94283,0.86188,0.1642,0.15154,0.83992,0.31101,0,0.00138644,0.00138644,0.00138644
